sample_id,context,label_value,label_name,resp_0,resp_1,resp_2,resp_3,resp_4
test.sa-sb.sa-b::00869,"Saturday night I went to a bar with my friends. The bar was very crowded. I went to the counter to order a drink. Before I could pay for my drink, a stranger bought it for me.",1.0,content_diversity,it was a pretty girl,it was someone I never met before,we soon became friends,we started to talk,we went outside and get some food
test.sa-sb.sa-b::00869,"Saturday night I went to a bar with my friends. The bar was very crowded. I went to the counter to order a drink. Before I could pay for my drink, a stranger bought it for me.",0.0,content_diversity,a girl bought the drink for me,it was a cute girl,the stranger was a beautiful girl,the buyer for the drink was a woman,it was an attractive lady
test.sa-sb.sa-b::00798,Adam was a bad kid. He was always making trouble. One day while riding on the school bus. Adam starts picking on a kid and won't stop bullying him.,1.0,content_diversity,the kid cry,adam was disciplined,someone interfere,he felt bad after,adam was taken into the police custody
test.sa-sb.sa-b::00798,Adam was a bad kid. He was always making trouble. One day while riding on the school bus. Adam starts picking on a kid and won't stop bullying him.,0.0,content_diversity,the kid was crying,the kid was sad,the kid wails,the kid adam bully shed tears,the kid was shedding so much tears from being bullied
test.sa-sb.sa-b::00868,Joe was really hungry. He wanted some breakfast food. Unfortunately it was past 11 AM. Then Joe remembered some fast food places still served breakfast.,1.0,content_diversity,He decided to make his own breakfast at home instead.,He decided to skip breakfast and just wait for lunch.,He decided to call up his girlfriend and have her make breakfast for him.,He visited the nearest restaurant that served breakfast and ordered it.,He grabbed a snack instead.
test.sa-sb.sa-b::00868,Joe was really hungry. He wanted some breakfast food. Unfortunately it was past 11 AM. Then Joe remembered some fast food places still served breakfast.,0.0,content_diversity,He made the decision to cook his own breakfast at home instead.,He cooked his own breakfast at home instead.,He made his own breakfast at home instead.,"Instead of going out for breakfast, he cooked it at home.",He prepared his own breakfast at home instead of going to a restaurant.
test.sa-sb.sa-b::00790,"When I tried to leave, my car wouldn't start. I had jumper cables with me in the car. I just needed someone's help to start the car. Before I knew it someone had stopped to help.",1.0,content_diversity,"To my surprise, it was a local celebrity!",It was my high school enemy!,I was grateful for their help.,It was my best friend!,They helped me get on my way again.
test.sa-sb.sa-b::00790,"When I tried to leave, my car wouldn't start. I had jumper cables with me in the car. I just needed someone's help to start the car. Before I knew it someone had stopped to help.",0.0,content_diversity,"Shockingly, it was my town's most popular radio DJ.","Amazingly, an A-list actor from my town had stopped to give aid.",A local musician had stopped to help.,The mayor had stopped.,I was amazed to see our town's quarterback!
test.sa-sb.sa-b::00800,I was walking on the beach the other day. While I was walking I saw a cool dog. I asked it's owner if I could play with it. The owner said yes.,1.0,content_diversity,I play with it,I love it,it was so fun to play with,the owner was friendly,the dog had amazing agility
test.sa-sb.sa-b::00800,I was walking on the beach the other day. While I was walking I saw a cool dog. I asked it's owner if I could play with it. The owner said yes.,0.0,content_diversity,I like it,I really like it,I have a warm feeling toward it,I really enjoy this dog,I have a loving feeling for this dog
test.sa-sb.sa-b::00822,Joy had always wanted to see the Grand Canyon. Her daughter recently moved to Phoenix and volunteered to drive. Joy flew to Phoenix. The two drove up to the Grand Canyon and saw it's majesty.,1.0,content_diversity,They were very happy and fulfilled,Joy had slipped and fell into the canyon,"Soon after, their friends joined them","In the canyon, an eagle tried to steal his hat",Clouds were low that day so they couldn't completely enjoy
test.sa-sb.sa-b::00822,Joy had always wanted to see the Grand Canyon. Her daughter recently moved to Phoenix and volunteered to drive. Joy flew to Phoenix. The two drove up to the Grand Canyon and saw it's majesty.,0.0,content_diversity,Joy had fell inside of the canyon,Joy had lost control and fell,Joy had lost the balance and slipped in the canyon,Joy hadn't been cautious so she fell in the canyon,Joy had fell down the canyon
test.sa-sb.sa-b::00803,Kara went to the mall to find a bikini. She went to three different stores to try on suits. Kara found a bikini she liked at the fourth store. She found out the bikini was on sale when she got to the register.,1.0,content_diversity,she was glad to save some money,she went to the pool that evening,she went swimming soon after,she went to the beach,she likes how her body look in the new bikini
test.sa-sb.sa-b::00803,Kara went to the mall to find a bikini. She went to three different stores to try on suits. Kara found a bikini she liked at the fourth store. She found out the bikini was on sale when she got to the register.,0.0,content_diversity,she is happy with the saving,she is happy she can save money,the discount made her happy,saving money here gives her joy,she was ecstatic she could spend less
test.sa-sb.sa-b::00853,"Angelina has a medical condition. The Doctor prescribed her some daily medications. She has been taking them but has had some side effects. Some of them she can tolerate, and others are becoming intolerable.",1.0,content_diversity,She ultimately opted to stop taking the medication because they interfered too much in her life.,She spoke to her doctor about the issues she was having and he switched her medication.,"She wanted to try a different medication, but her doctor said no , so she switched doctors.","There was nothing that could be done about this, so she fell into a deep depression.",She tirelessly researched online alternatives to taking the medication and ended up switching to an herbal remedy that helped immensely.
test.sa-sb.sa-b::00853,"Angelina has a medical condition. The Doctor prescribed her some daily medications. She has been taking them but has had some side effects. Some of them she can tolerate, and others are becoming intolerable.",0.0,content_diversity,She was desperate and asked her doctor for a different medication but he refused.,"Her doctor was terrible, and had no sympathy when she asked for possible alternatives.",She had to switch doctors because her doctor would not help her find a different medication with less side effects.,She took matters into her own hands and got a new doctor when her doctor would not help her find a different medication.,"Her doctor tried to convince her that there were no other medications that treated her condition, but she knew better, and found a different doctor."
test.sa-sb.sa-b::00806,Tim was bowling with friends. He kept getting strikes. After a while he was getting close to a perfect game. A crowd gathered around.,1.0,content_diversity,He choked.,Tim cracked under the pressure.,"Tim found strength in the crowd's support, he finished with a perfect score.",The crowd cheered as Tim scored a perfect game.,The crowed moaned as Tim lost it all.
test.sa-sb.sa-b::00806,Tim was bowling with friends. He kept getting strikes. After a while he was getting close to a perfect game. A crowd gathered around.,0.0,content_diversity,"Tim became so anxious with the crowd watching him, he failed to get a perfect score.",Tim did not manage to get a perfect score.,Tim lost the game due to the pressure of having an audience.,Tim choked and lost.,Tim cracked under pressure.
test.sa-sb.sa-b::00860,"Abby noticed toys all over her living room. Abby immediately called her toddler to clean up. As she was cleaning up, they began singing the clean up song. Abby decided to help her daughter clean up the toys.",1.0,content_diversity,they had a good time together,it was fun,the place was clean after,the living room was tidy again,it was a day of cleaning
test.sa-sb.sa-b::00860,"Abby noticed toys all over her living room. Abby immediately called her toddler to clean up. As she was cleaning up, they began singing the clean up song. Abby decided to help her daughter clean up the toys.",0.0,content_diversity,it was fun for them,they enjoy the day,they like the cleaning up,they thought it was great,they have a bonding experience
test.sa-sb.sa-b::00829,Joe tries to impress his friends by smoking. He notices a girl and lights up a cigarette. She walks away because she hates the smell of tobacco. Joe buys nicotine patches to quit smoking.,1.0,content_diversity,he quits smoking,he then ask her out,he was still rejected,the girl was long gone,he still could not quit
test.sa-sb.sa-b::00829,Joe tries to impress his friends by smoking. He notices a girl and lights up a cigarette. She walks away because she hates the smell of tobacco. Joe buys nicotine patches to quit smoking.,0.0,content_diversity,he no longer smokes,smoking is not with him anymore,he never touch cigarette again,he is not smoking anymore,smoking and him are two separate things now
test.sa-sb.sa-b::00821,"I believed my stuffed animals were real. I laid in bed at night staring at them in case they moved. I knew if I closed my eyes, they would start walking. I lined them up on shelves so I could always see them.",1.0,content_diversity,Those were sleepless nights,I want to play with them,I want them to talk to me,I thought they were my protectors,then one night they fell off the shelves
test.sa-sb.sa-b::00821,"I believed my stuffed animals were real. I laid in bed at night staring at them in case they moved. I knew if I closed my eyes, they would start walking. I lined them up on shelves so I could always see them.",0.0,content_diversity,I had some sleepless night,there are nights I could not sleep,some nights I was awake,I miss sleeps sometimes,there are night I stay wide awake
test.sa-sb.sa-b::00865,Kate and her friends were visiting Las Vegas. They decided to go to a casino. Kate played various games for two hours. And she was down $100.,1.0,content_diversity,she was sad,that was little to lose in a place like vegas,her friends lost thousands,she decides she can win it back,she stop playing
test.sa-sb.sa-b::00865,Kate and her friends were visiting Las Vegas. They decided to go to a casino. Kate played various games for two hours. And she was down $100.,0.0,content_diversity,she stops,she decides that was enough,that is more than enough gambling for her,she decides it was time to stop,she decides no more gambling
test.sa-sb.sa-b::00872,Rayna wanted new clothes but she didn't have any money to buy more. She then remembered watching a video about up-cycling old clothes. She realized that was a way to get herself some newer looking clothes. She went through her entire clothing attire and started altering them.,1.0,content_diversity,She had a whole new set of clothes,Her friends were mocking her,She had help from her grandma,She really enjoyed doing it,She saved a lot of money
test.sa-sb.sa-b::00872,Rayna wanted new clothes but she didn't have any money to buy more. She then remembered watching a video about up-cycling old clothes. She realized that was a way to get herself some newer looking clothes. She went through her entire clothing attire and started altering them.,0.0,content_diversity,She saved quite a lot,She saved money,She managed to save a large amount of money,She saved large sum of money,She managed to put money in savings
test.sa-sb.sa-b::00856,Ashley was driving with her brother. They decided to take back roads instead of the highway. They soon were lost and had no idea where they were. They spent hours driving around trying to find the right way.,1.0,content_diversity,She eventually remembered the right way.,They pulled over and tried to use their cell phones gps.,They eventually found their way by back tracking.,Ashley decided to switch with her brother.,Her brother took over driving and found the correct way.
test.sa-sb.sa-b::00856,Ashley was driving with her brother. They decided to take back roads instead of the highway. They soon were lost and had no idea where they were. They spent hours driving around trying to find the right way.,0.0,content_diversity,Ashley and her brother use their cell phones gps settings.,They decided to pull up a map on their cell phones.,Their cell phones had gps to help them.,Ashely and her brother used their phones to find their way.,The gps on their phones came in handy.
test.sa-sb.sa-b::00809,Andy was invited to a friend's poker night. He wasn't a very good player. He decided to cheat to win. Andy won but his friends weren't happy.,1.0,content_diversity,They didn't invite him back.,Now they won't return his texts.,Andy apologized and they made up.,Andy decided not to cheat in the future.,Andy watched YouTube videos and got better so he didn't have to cheat.
test.sa-sb.sa-b::00809,Andy was invited to a friend's poker night. He wasn't a very good player. He decided to cheat to win. Andy won but his friends weren't happy.,0.0,content_diversity,Andy felt bad afterward and swore he'd never cheat again.,Winning by cheating didn't feel very good so he didn't do it again.,"Andy didn't like feeling like a cheat, so he was honest the next time.",Knowing he cheated was embarrassing so he won't cheat when they play in the future.,Andy pledged not to cheat the next poker night.
test.sa-sb.sa-b::00820,The man turned it on. It did not respond. The man unplugged it. He took it apart.,1.0,content_diversity,he threw it away,it was broken,he fix it,he realize what part he needed,he put it back together
test.sa-sb.sa-b::00820,The man turned it on. It did not respond. The man unplugged it. He took it apart.,0.0,content_diversity,it broke,it no longer function,it was no longer working,it fail,it is now useless
test.sa-sb.sa-b::00839,"Nick and Jennifer met at a golf course. They decided to have their first date at a local restaurant. Jennifer was late because she couldn't decide which dress to wear. When she arrived, Nick told her she looked beautiful.",1.0,content_diversity,She was the most beautiful lady there,She thanked him for kind words,There was Jen's ex boyfriend there,She also got compliments by the staff,She fell on her dress and tore her up
test.sa-sb.sa-b::00839,"Nick and Jennifer met at a golf course. They decided to have their first date at a local restaurant. Jennifer was late because she couldn't decide which dress to wear. When she arrived, Nick told her she looked beautiful.",0.0,content_diversity,She was the prettiest there,Most beautiful person in the room was her,She was by far the best looking lady,She was the prettiest lady in the toom,The best looking person was her
test.sa-sb.sa-b::00873,Miles is feeling hungry one day. He decides to eat some carrots. Miles eats many carrots. Afterwards he drinks some water.,1.0,content_diversity,it was so healthy,he was still hungy,he decide to eat some burger,he went to exercise,he is in top shape
test.sa-sb.sa-b::00873,Miles is feeling hungry one day. He decides to eat some carrots. Miles eats many carrots. Afterwards he drinks some water.,0.0,content_diversity,it was healthy,the carrot is healthy,the carrot is good for his health,it was a healthy meal,eating carrot is good for you
test.sa-sb.sa-b::00837,"My wife gets blueberry muffins from the local supermarket. The batter varies from yellow to dark blue in color. Today, the batter was blue, my favorite. My wife was not pleased as yellow is her favorite.",1.0,content_diversity,she makes it anyway,the muffin was still delicious,it was not her best moment,she asked me to make it for her,she decides it was time to deal with the yellow batter
test.sa-sb.sa-b::00837,"My wife gets blueberry muffins from the local supermarket. The batter varies from yellow to dark blue in color. Today, the batter was blue, my favorite. My wife was not pleased as yellow is her favorite.",0.0,content_diversity,the muffin is still good,they still taste yummy,"no matter the color, muffin taste very nice",the muffin satisfy my sweet tooth,it was very good muffin
test.sa-sb.sa-b::00857,The tree lost it's leaves. That winter it became very cold. The branches froze. The tree lost it's branches.,1.0,content_diversity,They had to saw the tree,Tree fell down on earth,One of the branches fell off and hit a young boy,"In the spring, the tree started growing again",It was a shame because tree was really old
test.sa-sb.sa-b::00857,The tree lost it's leaves. That winter it became very cold. The branches froze. The tree lost it's branches.,0.0,content_diversity,They had to cut the tree down,They had to cut tree down,Tree had to be sawed,The had to bring down the tree,Tree had to be brought down
test.sa-sb.sa-b::00814,Mike's dog had fleas. The dog lived in the house with Mike. Mike had bite marks on his legs. Mike realized he had gotten bitten by fleas.,1.0,content_diversity,He had to go test himself,The dog unfortunately died,They took him to the vet,Mike felt really sad and depressed,"It was like dog hadn't even noticed, his behaviour was normal"
test.sa-sb.sa-b::00814,Mike's dog had fleas. The dog lived in the house with Mike. Mike had bite marks on his legs. Mike realized he had gotten bitten by fleas.,0.0,content_diversity,Mike was sad,Mike felt sadness,Mike was really depressed,Mike didn't feel well,Mike had a sad feelings
test.sa-sb.sa-b::00826,Jane had a window frame that was not fully attached to the house. To fix it required climbing on the roof. Jane was too afraid to do this herself. Her grown son did it instead.,1.0,content_diversity,she was thankful,it was a job well done,they had dinner after,he was cautious when doing so,the window was fixed
test.sa-sb.sa-b::00826,Jane had a window frame that was not fully attached to the house. To fix it required climbing on the roof. Jane was too afraid to do this herself. Her grown son did it instead.,0.0,content_diversity,she was glad to have him there,she was appreciative,she thank him for his help,she express her grattitude,she was happy to have his help
test.sa-sb.sa-b::00793,Ann was a teacher at a local school. One day she gave her students a test. She caught a student cheating on the test. She sent the student to the office.,1.0,content_diversity,Student admitted his mistake,Student denied everything,Principal threatened to student with kicking him out,"In the office, student tried to threaten her",Student was sad
test.sa-sb.sa-b::00793,Ann was a teacher at a local school. One day she gave her students a test. She caught a student cheating on the test. She sent the student to the office.,0.0,content_diversity,Student tried to deny everything,Student didn't want to admit,Student said he didn't do it,Student did not want to own up to his mistake,Student tried to lie his way out
test.sa-sb.sa-b::00836,"We watched Lassie every day after school. We begged our parents to buy us a dog like that. One day my cousin's dog had a litter of puppies. We pleaded for one, but our parents didn't like dogs.",1.0,content_diversity,we got one anyway,our parents let us have one,we have to do chores to get the dog,we could not get one,our parents said that would be our birth date gifts
test.sa-sb.sa-b::00836,"We watched Lassie every day after school. We begged our parents to buy us a dog like that. One day my cousin's dog had a litter of puppies. We pleaded for one, but our parents didn't like dogs.",0.0,content_diversity,we pick one anyone,we adopt one regardless,"nevertheless, we pick one up",we bought one,we decide to keep one either way
test.sa-sb.sa-b::00838,Paul wants to have some good footwear for winter. He decides to invest in a pair of heavy duty boots. Paul finds a great pair of boots. They're very warm.,1.0,content_diversity,they are his new favorite,he decides to wear them,they are expensive though,he bought them,he tried to get a discount but could not
test.sa-sb.sa-b::00838,Paul wants to have some good footwear for winter. He decides to invest in a pair of heavy duty boots. Paul finds a great pair of boots. They're very warm.,0.0,content_diversity,he really likes them,he likes them a lot,they are one of his favs,they became his favorites,they became the top of things to wear in his list
test.sa-sb.sa-b::00813,One of the enemies was captured. He was tortured. He gave up some information. The information was put to good use.,1.0,content_diversity,he was then killed,he was then put into prison,the war ended,it was gruesome,that was part of war
test.sa-sb.sa-b::00813,One of the enemies was captured. He was tortured. He gave up some information. The information was put to good use.,0.0,content_diversity,he was killed,he was disposed of after,he was never seen again,he was eliminated after,he was put to death
test.sa-sb.sa-b::00802,Jenny didn't know what to watch. She kept scrolling through every option. Nothing caught her attention. Eventually she realized how late it was.,1.0,content_diversity,she went to bed,she read a book instead,she turns off the light,she study instead,she decide it was better to not watch anything
test.sa-sb.sa-b::00802,Jenny didn't know what to watch. She kept scrolling through every option. Nothing caught her attention. Eventually she realized how late it was.,0.0,content_diversity,she decides to sleep,she went to her bed,she lay on the bed,she fell asleep,she choose the bed instead
test.sa-sb.sa-b::00832,Kate and her friends were on a trip in Vegas. They found an all you can eat sushi place. Kate was leery of the quality of fish they would use. But to her surprise it was very good.,1.0,content_diversity,she enjoy her meal,she decide to return,it was surprising,now she like to eat sushi in vegas,it was a wonderful experience
test.sa-sb.sa-b::00832,Kate and her friends were on a trip in Vegas. They found an all you can eat sushi place. Kate was leery of the quality of fish they would use. But to her surprise it was very good.,0.0,content_diversity,she like what she eat,she had a good meal,the meal was tasty,the meal was satisfying to her,she had a good time eating
test.sa-sb.sa-b::00876,"I always look forward to the weekends. On Friday, we took off from work a little early. We bought some beer and champagne. We relaxed and had a few drinks together.",1.0,content_diversity,then we have some chips,we decided to play some music,we then order some pizza,we decides to do some cooking,we invite a few friends over and it turns into a party
test.sa-sb.sa-b::00876,"I always look forward to the weekends. On Friday, we took off from work a little early. We bought some beer and champagne. We relaxed and had a few drinks together.",0.0,content_diversity,we also cook,we decided to use the kitchen,we prepare some meals,we use our cooking skills,we make some dishes
test.sa-sb.sa-b::00845,Derek loved playing football. He was the quarterback and was pretty good. He only had one game left in his career. He wanted it to be a good one.,1.0,content_diversity,"Unfortunately, he broke his leg after being tackled.",He made the winning goal.,Derek kicked the winning goal in the final moments in the game.,Derek was the MVP during this game.,Derek was hurt early on and had to be benched.
test.sa-sb.sa-b::00845,Derek loved playing football. He was the quarterback and was pretty good. He only had one game left in his career. He wanted it to be a good one.,0.0,content_diversity,"The opposing team tackled him, breaking his leg.",His leg was broken after a tackle.,Derek had his leg broken during a particularly rough tackle.,An aggressive tackle broke his leg.,Derek broke his leg.
test.sa-sb.sa-b::00881,Josh just moved into his new dorm room. He was nervous about meeting his new roommate. Luckily he seemed like a cool guy. Josh and him got along well.,1.0,content_diversity,They ended up becoming so close that they were friends even after college!,He invited Josh to a party at a Fraternity and they both had a great time.,They became such good friends that he was Josh’s best man at his wedding!,"However, soon after they met, Josh caught his roommate stealing from him.","A few months later, Josh noticed his roommate trying to steal his girlfriend so he requested a new dorm room."
test.sa-sb.sa-b::00881,Josh just moved into his new dorm room. He was nervous about meeting his new roommate. Luckily he seemed like a cool guy. Josh and him got along well.,0.0,content_diversity,"Despite their bond, everything changed when Josh’s roommate was caught stealing from him.",His roommate was caught red handed stealing some clothes from him.,"One night, his roommate was snooping around through his stuff and stole an expensive watch.","Josh’s roommate was nice on the outside, but he turned out to be a thief that stole from Josh.","Unfortunately, his roommate was not as he seemed and ended up taking money from Josh."
test.sa-sb.sa-b::00863,I had a big project due last week. I had been working on it for months. The night before it was due I stayed up all night finishing it. When I was done I was really proud of it.,1.0,content_diversity,it was a good project,the grade was good,I reward myself with some ice cream,I went to bed after,I take a vacation soon after
test.sa-sb.sa-b::00863,I had a big project due last week. I had been working on it for months. The night before it was due I stayed up all night finishing it. When I was done I was really proud of it.,0.0,content_diversity,I got good grade,the project receive good grade,the grade was excellent,I got good marks for it,the project receive full score
test.sa-sb.sa-b::00878,Jason worked very hard for his family. His wife didn't think he did enough. She told him that he needed to leave. Jason got very sad and depressed.,1.0,content_diversity,"He was happy when they got divorced, because he knew she was going to miss his support.",Jason left his family.,Jason decided to better himself and move on from his cold-hearted wife.,"She tried to get back with Jason, but he had already moved on with someone who cherished him.",Jason became an alcoholic to cope.
test.sa-sb.sa-b::00878,Jason worked very hard for his family. His wife didn't think he did enough. She told him that he needed to leave. Jason got very sad and depressed.,0.0,content_diversity,Jason turned to drugs and alcohol to deal with the loss of his family.,Jason became chemically dependent while trying to treat his depression.,Alcohol helped with Jason's feeling of despair.,Jason fell into alcoholism.,Jason tried coping with alcohol.
test.sa-sb.sa-b::00801,Nate's girlfriend was high maintenance. He tried buying generic cereal. It made her very upset. She only ate name brand cereal.,1.0,content_diversity,she broke up with him,he broke up with her,they split,she decides she would buy her own cereal,she gave him a scolding
test.sa-sb.sa-b::00801,Nate's girlfriend was high maintenance. He tried buying generic cereal. It made her very upset. She only ate name brand cereal.,0.0,content_diversity,she gave him a lecture,she give him a talk,she scolded him,she complain to him,she complain to his ears
test.sa-sb.sa-b::00841,John was doing poorly in school. He was on academic probation. If he failed one more class he would get kicked out. Unfortunately John knew he was going to fail two.,1.0,content_diversity,he decided to work harder to avoid failing,when he realized what would happen he got it together,he asked for help with school,he changed his mind to help himself,"in the end, he studied hard and passed"
test.sa-sb.sa-b::00841,John was doing poorly in school. He was on academic probation. If he failed one more class he would get kicked out. Unfortunately John knew he was going to fail two.,0.0,content_diversity,he got help studying,he ended up having someone help him to pass,"he got a lot of help , so he could pass",someone studied really hard to help him,he studied with help to help him pass
test.sa-sb.sa-b::00859,Sam is playing with her friends in her room. They decide to play hide and seek. Sam goes and runs to hide. While running she trips and falls down the stairs.,1.0,content_diversity,She broke her collar bone and had to be rushed to the hospital.,Her friends all ran over and gasped in horror as they saw her contorted body at the bottom of the stairs.,"Luckily, she was not badly hurt because she landed on her feet!","She stood up, brushed herself off, and ran back up the stairs to continue the game.","Just as she was falling, her father happened to come out of the kitchen, ran up the stairs and grabbed her before she hit the bottom."
test.sa-sb.sa-b::00859,Sam is playing with her friends in her room. They decide to play hide and seek. Sam goes and runs to hide. While running she trips and falls down the stairs.,0.0,content_diversity,"She sprained her ankle, but luckily nothing was broken.",She fractured her leg in three different places and was in so much pain.,"Her friends were all concerned that she broke something, and they were right.",She started wailing from the searing pain running through her broken bone.,She broke her foot and had to wear a cast for an entire month.
test.sa-sb.sa-b::00874,Caleb dressed as Batman for halloween. He ordered a costume that looked really cool. The chest part was extra huge on him. It made it difficult for him to move around.,1.0,content_diversity,he has to struggle,he still like the look though,he looks like a meat head,this was not the best custom he has,he was still happy to be batman for haloween
test.sa-sb.sa-b::00874,Caleb dressed as Batman for halloween. He ordered a costume that looked really cool. The chest part was extra huge on him. It made it difficult for him to move around.,0.0,content_diversity,he has to tried hard,he has to deal with the difficulties,this make thing difficult for him,it was not easy,he has to cope
test.sa-sb.sa-b::00819,My violin teacher makes me play scales. I think scales are boring. She tells me that they help me improve my technique. I am spending more time playing scales to make her happy.,1.0,content_diversity,I should not have,I decide to get a new teacher,I got really good at it,I decide to not play violin anymore,it was nice of me
test.sa-sb.sa-b::00819,My violin teacher makes me play scales. I think scales are boring. She tells me that they help me improve my technique. I am spending more time playing scales to make her happy.,0.0,content_diversity,I did not need to,it was better I did not,I should have done what I wanted,doing that was not needed,doing so was unnecessary
test.sa-sb.sa-b::00833,My grandmother said she was going to make bread for Christmas. We were confused as to how that was going to work. She showed up with a beautiful bread that looked like Santa. She explained to us how she made it.,1.0,content_diversity,it was delicious,I was so happy,it was so fun,we were glad to have family's time,the bread became our holiday tradition
test.sa-sb.sa-b::00833,My grandmother said she was going to make bread for Christmas. We were confused as to how that was going to work. She showed up with a beautiful bread that looked like Santa. She explained to us how she made it.,0.0,content_diversity,it was so tasty,it was yummy,it was marvelous,the taste was scrumptious,the bread was delightful to taste
test.sa-sb.sa-b::00858,"Barry always encouraged his daughter to do what she wanted. Recently, Barry's daughter told him she wanted to be a mechanic. Barry was shocked, but he decided to support his daughter. Barry's daughter is now a successful car mechanic for Toyota.",1.0,content_diversity,Barry is proud and brags about her all the time.,She is a great role model for other women who want to be mechanics.,"It's sometimes hard to be a woman mechanic, but she loves it anyway.","The guys she works with are great and supportive, too.",The guys she works with are jerks and that is annoying.
test.sa-sb.sa-b::00858,"Barry always encouraged his daughter to do what she wanted. Recently, Barry's daughter told him she wanted to be a mechanic. Barry was shocked, but he decided to support his daughter. Barry's daughter is now a successful car mechanic for Toyota.",0.0,content_diversity,Barry loves to tell people about his daughter and her job.,Barry is thrilled that his daughter is doing so well.,Barry talks about his daughter every chance he gets.,Barry talks people's ear off about his daughter the mechanic.,Barry enjoys telling people about his daughter's success.
test.sa-sb.sa-b::00883,Sarah's dog Cora doesn't like to go out on the leash. She pulls or refuses to walk when Sarah puts her harness on. Sarah took Cora to an obedience school. She had to take her for five Saturdays in a row.,1.0,content_diversity,"But at the end, the dog has become obedient",It didn't help,Cora now has trust issues,"After 5 weeks, she had to do another 5 weeks","In a school, Sarah met instructor's son which she liked"
test.sa-sb.sa-b::00883,Sarah's dog Cora doesn't like to go out on the leash. She pulls or refuses to walk when Sarah puts her harness on. Sarah took Cora to an obedience school. She had to take her for five Saturdays in a row.,0.0,content_diversity,It wasn't helpful,It was all for nothing,It was without a success,It was unsuccessful,There was nothing to do
test.sa-sb.sa-b::00844,"Tim was walking into the office. He noticed someone was behind him. He decided to hold the door open for them. They were too far away, though.",1.0,content_diversity,He felt silly holding the door so long.,He waited and the person thanked him.,He and the person behind him laughed at the awkwardness.,Tim decided that's what he gets for trying to be nice.,The person was grateful even though he had to let go of the door before they got there.
test.sa-sb.sa-b::00844,"Tim was walking into the office. He noticed someone was behind him. He decided to hold the door open for them. They were too far away, though.",0.0,content_diversity,Tim was embarrassed that he was standing there like a fool.,Tim tried to pretend he didn't feel dumb holding the door.,He wished he hadn't held the door as he felt foolish.,Tim remembered that trying to hold the door often made him feel awkward.,Tim was resigned to looking a little silly.
test.sa-sb.sa-b::00805,Sam is having a sleepover. Her friends are telling ghost stories. Sam hears a noise and screams. Her friends all laugh at her.,1.0,content_diversity,she was sad,she decides to scare her friends when they fell asleep,she decides to return the favor after,she laughs with them,"that night, she scares them one by one"
