sample_id,context,label_value,label_name,resp_0,resp_1,resp_2,resp_3,resp_4,metric_averaged_cosine_similarity,metric_averaged_distinct_ngrams,metric_bert_score,metric_s_d,metric_s_d_norm,metric_s_s_d,metric_s_s_d_norm,metric_sent_bert,metric_t_s_d,metric_t_s_d_norm
test.sa-sb.sa-b::00845,Derek loved playing football. He was the quarterback and was pretty good. He only had one game left in his career. He wanted it to be a good one.,0.0,content_diversity,"The opposing team tackled him, breaking his leg.",His leg was broken after a tackle.,Derek had his leg broken during a particularly rough tackle.,An aggressive tackle broke his leg.,Derek broke his leg.,-0.103,0.891,-0.595,2.583,0.517,4.744,0.949,-0.795,11.443,0.424
test.sa-sb.sa-b::00878,Jason worked very hard for his family. His wife didn't think he did enough. She told him that he needed to leave. Jason got very sad and depressed.,0.0,content_diversity,Jason turned to drugs and alcohol to deal with the loss of his family.,Jason became chemically dependent while trying to treat his depression.,Alcohol helped with Jason's feeling of despair.,Jason fell into alcoholism.,Jason tried coping with alcohol.,-0.033,0.950,-0.481,2.143,0.429,4.988,0.998,-0.598,17.603,0.550
test.sa-sb.sa-b::00801,Nate's girlfriend was high maintenance. He tried buying generic cereal. It made her very upset. She only ate name brand cereal.,1.0,content_diversity,she broke up with him,he broke up with her,they split,she decides she would buy her own cereal,she gave him a scolding,-0.051,0.903,-0.289,1.475,0.295,4.318,0.864,-0.307,6.339,0.704
test.sa-sb.sa-b::00801,Nate's girlfriend was high maintenance. He tried buying generic cereal. It made her very upset. She only ate name brand cereal.,0.0,content_diversity,she gave him a lecture,she give him a talk,she scolded him,she complain to him,she complain to his ears,-0.113,0.857,-0.453,1.319,0.264,4.992,0.998,-0.457,6.814,0.852
test.sa-sb.sa-b::00859,Sam is playing with her friends in her room. They decide to play hide and seek. Sam goes and runs to hide. While running she trips and falls down the stairs.,1.0,content_diversity,She broke her collar bone and had to be rushed to the hospital.,Her friends all ran over and gasped in horror as they saw her contorted body at the bottom of the stairs.,"Luckily, she was not badly hurt because she landed on her feet!","She stood up, brushed herself off, and ran back up the stairs to continue the game.","Just as she was falling, her father happened to come out of the kitchen, ran up the stairs and grabbed her before she hit the bottom.",-0.061,0.915,-0.264,2.124,0.425,4.969,0.994,-0.314,26.970,0.586
test.sa-sb.sa-b::00859,Sam is playing with her friends in her room. They decide to play hide and seek. Sam goes and runs to hide. While running she trips and falls down the stairs.,0.0,content_diversity,"She sprained her ankle, but luckily nothing was broken.",She fractured her leg in three different places and was in so much pain.,"Her friends were all concerned that she broke something, and they were right.",She started wailing from the searing pain running through her broken bone.,She broke her foot and had to wear a cast for an entire month.,-0.030,0.955,-0.317,1.995,0.399,4.871,0.974,-0.424,18.570,0.502
test.sa-sb.sa-b::00874,Caleb dressed as Batman for halloween. He ordered a costume that looked really cool. The chest part was extra huge on him. It made it difficult for him to move around.,1.0,content_diversity,he has to struggle,he still like the look though,he looks like a meat head,this was not the best custom he has,he was still happy to be batman for haloween,-0.054,0.932,-0.085,2.793,0.559,4.968,0.994,-0.227,8.663,0.578
test.sa-sb.sa-b::00874,Caleb dressed as Batman for halloween. He ordered a costume that looked really cool. The chest part was extra huge on him. It made it difficult for him to move around.,0.0,content_diversity,he has to tried hard,he has to deal with the difficulties,this make thing difficult for him,it was not easy,he has to cope,-0.084,0.891,-0.336,1.767,0.353,4.891,0.978,-0.689,8.071,0.897
test.sa-sb.sa-b::00819,My violin teacher makes me play scales. I think scales are boring. She tells me that they help me improve my technique. I am spending more time playing scales to make her happy.,0.0,content_diversity,I did not need to,it was better I did not,I should have done what I wanted,doing that was not needed,doing so was unnecessary,-0.061,0.903,-0.206,1.982,0.396,4.977,0.995,-0.473,5.089,0.848
test.sa-sb.sa-b::00858,"Barry always encouraged his daughter to do what she wanted. Recently, Barry's daughter told him she wanted to be a mechanic. Barry was shocked, but he decided to support his daughter. Barry's daughter is now a successful car mechanic for Toyota.",1.0,content_diversity,Barry is proud and brags about her all the time.,She is a great role model for other women who want to be mechanics.,"It's sometimes hard to be a woman mechanic, but she loves it anyway.","The guys she works with are great and supportive, too.",The guys she works with are jerks and that is annoying.,-0.068,0.884,-0.289,2.291,0.458,4.974,0.995,-0.412,17.439,0.545
test.sa-sb.sa-b::00844,"Tim was walking into the office. He noticed someone was behind him. He decided to hold the door open for them. They were too far away, though.",0.0,content_diversity,Tim was embarrassed that he was standing there like a fool.,Tim tried to pretend he didn't feel dumb holding the door.,He wished he hadn't held the door as he felt foolish.,Tim remembered that trying to hold the door often made him feel awkward.,Tim was resigned to looking a little silly.,-0.052,0.925,-0.388,2.092,0.418,4.885,0.977,-0.554,13.724,0.361
test.sa-sb.sa-b::00805,Sam is having a sleepover. Her friends are telling ghost stories. Sam hears a noise and screams. Her friends all laugh at her.,1.0,content_diversity,she was sad,she decides to scare her friends when they fell asleep,she decides to return the favor after,she laughs with them,"that night, she scares them one by one",-0.051,0.926,-0.201,2.591,0.518,4.330,0.866,-0.300,11.204,0.747
test.sa-sb.sa-b::00825,It any business you have to keep track of your resources. I was helping a friend inventory his business. He could name every part number in his inventory from memory. I asked him to give me a list of his employees.,1.0,content_diversity,He had a hard time recollecting.,He new every name and their birthdays.,He could not name them without looking at his files.,He named them all off the top of his head.,He could not remember the names of his employees.,-0.053,0.920,-0.315,1.991,0.398,4.767,0.953,-0.246,10.295,0.429
test.sa-sb.sa-b::00794,"My cat woke me up this morning. She jumped on my bed and started meowing in my face. I did not want to get up, but she wouldn't go away. Finally, I pulled off the covers and followed her to her food bowl.",0.0,content_diversity,The cat fooled me. She still had food from last night.,The cat didn't even need more food!,"I should learn not to fall for that, she always has food available.",I was mad to see that she didn't even need food.,"She still had some food, but I topped off the bowl.",-0.047,0.917,-0.302,2.847,0.474,4.308,0.862,-0.373,17.700,0.521
test.sa-sb.sa-b::00795,"Renny had a favorite cup he used every day. One day she told her son to put it in the sink for her. Her son grabbed the cup and walked towards the sink. On his way there, he tripped on a toy that was left on the ground.",1.0,content_diversity,he fell,the cup broke,he was able to save the cup,he was in pain,he broke his arm,-0.061,0.903,-0.355,2.212,0.442,4.980,0.996,-0.327,8.206,0.912
test.sa-sb.sa-b::00828,The man stole a watch from his friend. He wore the watch out on the town. His friend recognized the watch. He asked to have it back.,1.0,content_diversity,the man gives it back,the man refuse to give it back,the police arrest the thief who refuse to return the watch,he was caught red handed,they got into a fight,-0.040,0.924,-0.290,2.064,0.413,4.992,0.998,-0.147,13.583,0.755
test.sa-sb.sa-b::00864,Karl went to an Indian restaurant. It was his first time eating such food. He tried a few different things. Everything tasted good to him.,0.0,content_diversity,Karl learned to cook Indian food himself.,Karl studied Indian cooking and cooked at home.,Karl signed up for a class that taught methods of Indian cooking.,Karl and a friend took an Indian cooking class together.,Karl liked it so much that he studied Indian cooking techniques.,-0.083,0.909,-0.506,2.092,0.418,4.948,0.990,-0.768,14.954,0.404
test.sa-sb.sa-b::00889,Liz was out on a date. She was nervous at dinner. She only got a small amount of food. Even that she cold barely eat.,0.0,content_diversity,she was so hungry,she was starving,"afterward, her hunger pain her",her stomach is growling,she feel the pain of starvation,-0.039,0.934,-0.300,2.351,0.470,4.904,0.981,-0.702,8.681,0.789
test.sa-sb.sa-b::00830,Ben was a struggling actor. He went to several auditions. He finally got a call back on one of them. Ben got the part.,1.0,content_diversity,He called all his friends to tell them.,He was so happy he cried.,He realized he didn't really like acting very much so he quit.,His family was so proud they threw him a party.,His friend was jealous and they drifted apart.,-0.033,0.949,-0.280,1.977,0.395,4.998,1.000,-0.263,10.459,0.418
test.sa-sb.sa-b::00830,Ben was a struggling actor. He went to several auditions. He finally got a call back on one of them. Ben got the part.,0.0,content_diversity,He went home and told everyone he knew.,He was so excited that he called a ton of people to tell them.,He had to let everyone know asap.,Ben was super excited to share the news.,Ben had a great evening letting everyone know.,-0.040,0.937,-0.385,2.225,0.445,4.468,0.894,-0.571,16.209,0.540
test.sa-sb.sa-b::00840,I was walking down by the tracks the other day. There were a lot of pretty trees down by the tracks. I saw a few trains roll by. I had a great time outdoors that day.,0.0,content_diversity,I want to walk around this area again.,"I will walk by the tracks this weekend, when the weather is nice.","The walk was so pleasant, I decided to do it again soon.",I am going to walk this path tomorrow.,This walk will become one of my new favorites.,-0.051,0.940,-0.392,2.555,0.511,4.984,0.997,-0.559,10.958,0.378
test.sa-sb.sa-b::00850,"Gabe was sitting in his school cafeteria eating his lunch. Suddenly, a female student sat his table. She began to talk to him. Gabe was surprised that someone wanted to talk to him.",0.0,content_diversity,she was pretty,she was good looking,he thinks she is very beautiful,he finds her look mesmerizing,he was drawn to her,-0.053,0.928,-0.358,1.965,0.393,4.441,0.888,-0.695,7.469,0.934
test.sa-sb.sa-b::00854,Larry was at the store. He was looking at glassware for his wife. He accidentally bumped into a display of jars. They all fell over and shattered.,1.0,content_diversity,he had to pay for the damages,he was also hurt,he was distraught,he apologize to the store owner,the store owner was not happy with the outcome,-0.077,0.889,-0.300,2.228,0.446,4.457,0.891,-0.368,8.853,0.738
test.sa-sb.sa-b::00854,Larry was at the store. He was looking at glassware for his wife. He accidentally bumped into a display of jars. They all fell over and shattered.,0.0,content_diversity,he was cut,he got cut,he got damages all over his body,glass shards inflict wound on him,he was badly wounded,-0.061,0.926,-0.346,2.346,0.469,4.195,0.839,-0.412,8.771,0.797
test.sa-sb.sa-b::00792,My daughter and I started a new book last night. It was the first of a new series out. We enjoy reading together at night. We have read a lot of different books together.,1.0,content_diversity,We looked forward to the rest of the series.,This series would be discontinued.,The book was a fun way for us to connect.,I performed the characters using different voices to entertain her.,This would become her favorite book.,-0.025,0.955,-0.301,2.602,0.520,4.996,0.999,-0.233,10.663,0.395
test.sa-sb.sa-b::00792,My daughter and I started a new book last night. It was the first of a new series out. We enjoy reading together at night. We have read a lot of different books together.,0.0,content_diversity,"The future of this series was bleak, it would be discontinued.",The book was the first and last of the series.,The book series was discontinued soon after.,We did not know that the series would be discontinued in the future.,The book series would not last long.,-0.103,0.856,-0.407,2.013,0.403,4.992,0.998,-0.508,9.851,0.340
test.sa-sb.sa-b::00799,I was walking with my foreign language exchange partner. We exchanged a few words. She made a small grammar mistake in her speech. I politely corrected her.,1.0,content_diversity,she said thank you,we continue practicing,she decided we should get ice cream,we had lots of fun,she teach me some foreign language too,-0.023,0.969,-0.172,1.752,0.350,4.985,0.997,-0.164,10.164,0.782
test.sa-sb.sa-b::00843,Ginger took her son to the park one day. When they got there they found a dog. They have been wanting a dog so finding the dog made them happy. But when they started petting the dog they noticed something alarming.,1.0,content_diversity,the dog was missing a leg,the dog was hurt,the dog was a new breed,the dog has a tag,the dog can not see,-0.182,0.826,-0.443,1.542,0.308,4.995,0.999,-0.415,8.302,0.692
test.sa-sb.sa-b::00877,The man ate some bread. The bread tasted weird. He looked at the bread. It was visibly moldy.,1.0,content_diversity,He kept eating despite this.,He threw the bread in the trash.,He donated it to a local charity organization.,He stopped eating the bread.,He contacted the store about the bread about a refund as it was a recent purchase.,-0.064,0.916,-0.370,1.505,0.301,4.942,0.988,-0.209,11.091,0.462
test.sa-sb.sa-b::00808,"For Haun, snacks are important for watching movies. He gets the same snacks every time he's at the cinema. Haun orders lemonade, popcorn, and gummy bears. Today he also got a hot dog.",1.0,content_diversity,they were delicious,he stuffed himself in the movie,"after eating, he fell asleep in the movie","the movie was boring, but the food was good",he spill his food,-0.051,0.899,-0.250,2.645,0.529,4.151,0.830,-0.265,9.376,0.625
test.sa-sb.sa-b::00808,"For Haun, snacks are important for watching movies. He gets the same snacks every time he's at the cinema. Haun orders lemonade, popcorn, and gummy bears. Today he also got a hot dog.",0.0,content_diversity,he let his food fall in the movie,he made a mess inside the theater,the food spills all over,the food he ate created a mess,he was sloppy with his eating habit,-0.060,0.922,-0.323,2.406,0.481,4.985,0.997,-0.448,10.534,0.620
test.sa-sb.sa-b::00852,"Xander has a crush on Sadie. He puts notes in her locker every day. Sadie writes notes back. Today, Xander is going to tell her he likes her.",1.0,content_diversity,he was so nervous,she told him she is a lesbian,she said she likes him back,she was not in school,he bought a gift,-0.037,0.938,-0.270,2.073,0.415,4.838,0.968,-0.111,7.999,0.889
test.sa-sb.sa-b::00816,Ben is sitting down eating his lunch at school. A kid comes over to Ben and dumps his food on his head. Ben gets up and starts throws his food at the kid. Everyone starts throwing food at each other.,1.0,content_diversity,"The principal tried to end the fight, but was hit in the face with a slice of pizza.","Ben and the kid start rolling around, punching each other.",Some students ran out of the room screaming.,The fight went on for the rest of lunch.,Ben slipped on some of the food.,-0.048,0.953,-0.283,1.800,0.360,4.956,0.991,-0.231,18.182,0.568
test.sa-sb.sa-b::00816,Ben is sitting down eating his lunch at school. A kid comes over to Ben and dumps his food on his head. Ben gets up and starts throws his food at the kid. Everyone starts throwing food at each other.,0.0,content_diversity,The principal was hit with a slice of pizza.,The principal could not stop the food fight before he was hit in the face with pizza.,"Someone threw a slice of pizza at the principal, hitting him in the face.",Pizza flew across the room and hit the principal in the face.,"The principal tried to stop the food fight, but was hit with a hot slice of pizza.",-0.146,0.814,-0.518,2.157,0.431,4.046,0.809,-0.781,20.024,0.477
test.sa-sb.sa-b::00811,"Our neighbors abandoned their cat. Since then, we've been taking care of her. She comes to our porch to be fed every day. I'm going to set up an appointment with the vet to get shots for her.",1.0,content_diversity,I will adopt this cat,this cat is cute,I hope it will not be hurt,I think it will be fine,this is a matter of animal loving,-0.056,0.914,-0.243,2.496,0.499,4.397,0.879,-0.299,9.199,0.836
test.sa-sb.sa-b::00867,Jake offered to buy his friend lunch. As long as Jake chose where. Jake made sure to have a buy one get one free coupon. He used it and earned points for himself.,1.0,content_diversity,they had a good lunch,it was a good way to save,it was smart,they ended up with burgers,they chose a seafood restaurant,-0.045,0.924,-0.287,1.848,0.370,4.695,0.939,-0.302,10.082,0.917
test.sa-sb.sa-b::00812,"I got called to the office during class. I walked out and stopped at my locker. Just as I was trying to open my door, the teacher walked out. He said my name and my locker popped open and hit my knee.",1.0,content_diversity,it was painful,my knee was broken,the teacher helps me,the teacher laughs,I was embarrassed,-0.038,0.736,-0.359,2.661,0.532,4.984,0.997,-0.227,6.670,0.834
test.sa-sb.sa-b::00861,"My dad bought some nonalcoholic beer. Since it didn't have alcohol, I asked him if I could try it. He told me I wouldn't like it. I tried it, and made a terrible face.",1.0,content_diversity,"He was right, I didn't like it.",I decided to sneak an alcoholic drink to see if it tasted better.,I questioned why he bought nonalcoholic beer in the first place.,It tasted like poison!,Why did I ask to taste this?,-0.025,0.962,-0.195,2.279,0.456,4.944,0.989,-0.263,14.776,0.547
test.sa-sb.sa-b::00861,"My dad bought some nonalcoholic beer. Since it didn't have alcohol, I asked him if I could try it. He told me I wouldn't like it. I tried it, and made a terrible face.",0.0,content_diversity,I asked dad why he bought nonalcoholic beer.,"It tasted so bad, I asked my dad why he purchased it.",Why did dad buy this?,I wanted to know why dad bought nonalcoholic.,Why would he buy this kind of beer?,-0.061,0.903,-0.400,2.350,0.470,4.976,0.995,-0.557,13.667,0.506
test.sa-sb.sa-b::00835,Tim bought a new scooter. He left it on his front porch. One day it was gone. He filed a police report.,1.0,content_diversity,he never got it back,it took forever,they got it back for him,he also post missing items,he search for it day and night,-0.060,0.907,-0.180,2.310,0.462,4.530,0.906,-0.242,9.909,0.708
test.sa-sb.sa-b::00886,The man stubbed his toe. He thought it was broke. He called the doctor. The doctor made a house call.,1.0,content_diversity,His toe was not broken.,His toe was severely sprained.,The doctor placed a cast on his toe.,His toe was only bruised.,The doctor found no broken bones in his toe.,-0.122,0.862,-0.521,1.897,0.379,4.981,0.996,-0.632,8.509,0.405
test.sa-sb.sa-b::00846,"Karen had been with her boyfriend for years, hoping to marry. Now her younger brother was engaged and expecting a baby. Karen felt like it was time for her boyfriend to ask her. She gave him an ultimatum to either marry or leave.",0.0,content_diversity,he choose to leave,he ran away,he decided not to marry her,he said he would not marry her,he said no,-0.085,0.891,-0.364,1.551,0.310,4.532,0.906,-0.507,8.414,0.841
