sample_id,context,label_value,label_name,resp_0,resp_1,resp_2,resp_3,resp_4,metric_abs_hds_mean,metric_abs_hds_std
test.sa-sb.sa::00682,Kate had slept most of the way on the road trip. She was awake now. But she had no headphones to listen to music. Her eyes felt heavy as she stared at the road passing by.,0.0,content_diversity,Car has hit a tree and she bumped into the seat in front of her,Driver lost control of the vehicle and bumped in the tree,She felt braking and could see car crashed in the tree,"Suddenly, she felt strong force and she was on the floor",She felt someone pulling the handbrake as they were crashing in the tree,2.000,0.408
test.sa-sb.sa::00689,Our relationship confuses me. We got into another argument. He accused me of not working hard. I explained my computer was being slow.,1.0,content_diversity,He told me to stop changing the subject.,I bought a new computer instead of fixing the slow one.,I walked out of the room before I said something I regretted.,He smashed the computer when I complained about it.,I decided to ignore him and tried to work as best as I could on the slow computer.,4.188,0.658
test.sa-sb.sa::00691,Jane noticed her internet was slow. The cable company was no help. Eventually someone recommended getting a better router. Jane tried it out.,1.0,content_diversity,she was happy with her new interernet,she like its,she did not like it,she was glad she did,she is happy she got a new router,3.222,0.711
test.sa-sb.sa::00698,Joel owned a restaurant. He hired a cook that didn't care about his work. The cook didn't clean after himself. The kitchen was a mess.,1.0,content_diversity,Joel fired the cook when things went too far downhill.,One day Joel called a meeting and set up new rules for the cook and other staff to follow.,This went on for a couple months before Joel had enough.,Joel did not care much about the restaurant either and he went out of business.,When making future hiring decisions Joel held up the cook as an example of what he doesn't want.,4.556,0.497
test.sa-sb.sa::00698,Joel owned a restaurant. He hired a cook that didn't care about his work. The cook didn't clean after himself. The kitchen was a mess.,0.0,content_diversity,One day the cook showed up at the restaurant and was very angry.,The cook pleaded for another chance.,It was time to start over and pick up the pieces.,Joel discovered that the cook had been battling a severe illness and it had affected his work.,From that day forward Joel's restaurant was the best in town.,4.278,0.533
test.sa-sb.sa::00699,"Janet's family was used to tornado season where they lived. Luckily, they had avoided any major damage to their farm. They heard of a bad tornado coming their way. They weren't worried and didn't evacuate like their neighbors.",1.0,content_diversity,They were lucky that the tornado did not make it to their farm.,This was a bad decision because Janet's mother did not make it.,Everything worked out because the tornado died out before it could reach the farm.,They were able to protect the animals but their garden was destroyed by the tornado.,The family is not afraid of tornadoes anymore.,4.111,0.458
test.sa-sb.sa::00701,Devin just got his licenses. He asks his parents for permission to out driving. While out driving he agrees to race one of his friends. Devin steps on the gas and races in his parents car.,1.0,content_diversity,Devin goes 100 mph and gets pulled over by the police.,Devin hits a telephone pole and totals his parents car.,Devin forgets his license and gets arrested.,Devin's little brother was with him and snitched to their parents.,Devin gets lost and has to call his parents.,4.667,0.333
test.sa-sb.sa::00703,Jake was changing clothes in his room. He didn't realize his overhead fan was on. When he reached up to take off his shirt his arm hit the fan blades. Jake wound up fracturing his wrist.,1.0,content_diversity,"His mom ran upstairs when she heard the commotion, and immediately drove him to the emergency room.","He had to wear a cast and was unable to play his favorite sport, baseball, for an entire month.",He thought it was cool so he showed it to the neighborhood kids.,He was in agonizing pain so he raced to the phone to call an ambulance.,He then woke up and realized it was all a dream.,4.167,0.707
test.sa-sb.sa::00705,Jim has a very important math test next week. He is really worried about passing with a good grade. Jim decided to ask his teacher for ideas on great study tips. His teacher gave him some really great studying advice.,0.0,content_diversity,Confidence flowed through Jim as he realized he easily solved all the questions.,The teacher handed back Jim's test which got full marks.,Jim got a hundred on the test.,Jim ended up doing well and passing the math test.,He came home happy he passed the test.,2.667,0.577
test.sa-sb.sa::00706,"My textbook went missing. I tried to look inside the laundry room. Dust was flying everywhere, especially on the desk. I managed to find the book inside a bin.",1.0,content_diversity,Someone had hidden it there after damaging it.,I was very happy to have my textbook and sat down to study.,I felt mystified as to why the book was in a bin but was relieved I had found it.,I opened the book and got down to catching up on my studies.,Later in the day my roommate admitted they had been tidying and put my book there.,3.857,0.693
test.sa-sb.sa::00709,I put my dog in training school. He is learning a lot of new tricks. He can now sit and stand. They are very good teachers.,0.0,content_diversity,We joined together with our new friends to put together a dog trick stage show.,My pup has never been happier.,Now people gasp with delight when they see what my dog can do.,Our new friends agreed that these were the best dog trainers ever.,We all decided to stay in touch and do doggy play dates.,4.389,0.698
test.sa-sb.sa::00714,Sam was at work. He had to lift a heavy box by himself. Sam pulled a muscle trying to do so. He had to get physical therapy to get better.,1.0,content_diversity,"After physical therapy, he was more fit than ever",Physical therapy was very expensive,"After the therapy, he promised he would be more careful lifting heavy objects",He decided to start going to the gym so he can avoid this kind of injuries,"After few months, he felt better that ever",3.944,0.497
test.sa-sb.sa::00716,Sam went on a date. He was nervous and ate too much at dinner. After a short while he started feeling sick. Sam had to cut the date short and go home.,0.0,content_diversity,He had to call her and apologise,Next day he called her and explained what had happened,He asked his date for forgivness,He was so embarrassed while explaining the reason for leaving,Next day he grabbed a phone and called to say sorry,2.611,0.567
test.sa-sb.sa::00718,John woke up on the beach not remembering who he was. John looked at his belongings. John found a car key. John used the car key to find out the car.,1.0,content_diversity,He tried it until he found the right car.,He went to the hospital to get himself checked out.,He went to the local police station to help with identification.,He drove to the local grocery store and went in.,He drove around aimlessly.,4.389,0.515
test.sa-sb.sa::00721,Randy tells his kids if they massage him all night he will reward them. He tells them he will give them 100 dollars each for doing it. The kids massage their father all night. When the morning comes the kids are excited to be done.,0.0,content_diversity,Every kid bought 100 dollars worth of toys,All kids were happy with their money spent on toys,Each of them decided to buy toys,"With 100 dollars, all kids bought new toys",Receiving their reward made them happy because now they can buy toys,2.000,0.598
test.sa-sb.sa::00726,Chris is a star runner. Chris has a big race this sunday. He invited all his friends and family to the race. While at the race Chris runs as hard as he can.,1.0,content_diversity,Chris really wanted to show off in front of everyone but he ended up falling down instead.,"Unfortunately, Chris got disqualified from another event after jumping the gun several times.",Chris ended up winning the race and dedicating his win to his mother.,Chris had his best race ever even breaking a state record.,Chris was nervous about his friends and family being there but persevered and won.,4.214,0.995
test.sa-sb.sa::00731,I had my special cup on my desk. I accidentally bumped it. It fell and rolled over the edge. It hit the husky and bounced off.,0.0,content_diversity,Cup landed softly on the rug,"When cup bounced off, it landed on the carpet","Fortunately, the cup landed softly and didn't shatter",Cup fell on the carpet but nothing happened,Carpet was soft so when cup fell down it didn't shatter,2.222,0.749
test.sa-sb.sa::00738,James wanted to go swimming. He made plans with friends. Unfortunately it started to rain. Most of his friends cancelled.,1.0,content_diversity,James didn't care about the rain and went swimming anyway.,James got mad at his friends for canceling and stayed home and played games.,James was really angry about the rain and told his friends he was mad at them too.,One of James' friends didn't cancel and they went swimming together.,James decided to go swimming anyway and found that the pool was closed.,3.722,0.671
test.sa-sb.sa::00739,Sam went out drinking. He tried to drive home. He couldn't find his keys. He had to call a taxi.,1.0,content_diversity,Sam didn't care about being responsible but the bar did and took his keys.,Sam was furious that his keys were missing but went home anyway.,Sam couldn't find anyone to give him a ride so he had to call for a ride.,Sam's friends at the bar took his keys making Sam angry at everyone.,Sam was so drunk he shouldn't have been driving anyway.,3.611,0.657
test.sa-sb.sa::00744,Tim always loved reading and writing. He decided to try and write a book. It took him a long time. Not many people read it.,0.0,content_diversity,It was a cult classic,The few you read it were big fans,Tim develop a small loyal fan base,The book was considered an acquired taste but some liked it,"It had a polarizing reaction, people either loved or hated it",3.500,0.527
test.sa-sb.sa::00745,Brett got new shoes today. His old ones had a hole in them. He really does not like his new shoes. Brett wanted his old shoes back.,1.0,content_diversity,he got his old shoes back,he exchange the new pair for a new pair of his old shoes,he threw the new shoes away,he decided to try the new shoe anyway,he keeps the new shoes,3.222,0.629
test.sa-sb.sa::00751,Tom was invited to a party. He wasn't much of a beer drinker. He got whatever he saw on sale. Everyone at the party was a bit disappointed.,1.0,content_diversity,it was not his fault though,they wanted better booze,they thought he was not being selective,they wanted him to put in more thoughts,"they were disappointed because the music was bad, not because of tom",3.333,0.745
test.sa-sb.sa::00760,Karl was getting ready for work. He didn't have enough time to make breakfast. Karl decided to just eat some cereal. He poured out the cereal before checking the milk.,1.0,content_diversity,Turns out that the milk was sour and he ruined a good bowl of cereal.,Karl looked into the fridge and realized he didn't have any milk.,Karl put the cereal back into the box because he was out of milk.,Karl remember he didn't have any milk so put the cereal back.,Karl put the cereal in a sandwich bag and just ate it like granola because he had no milk.,3.722,0.629
test.sa-sb.sa::00762,"In college, I heard my first opera. It was called Marriage of Figaro. The singers sang in English so we could understand the words. It was a very funny story.",1.0,content_diversity,I love this opera,I like opera ever since,I did not like other opera though,I enjoy telling other people about this story,I decide to buy the book on this opera,4.111,0.698
test.sa-sb.sa::00764,Jake went bowling one day. It was his friend's birthday. Jake decided to be nice and let his friend win. The friend was excited over beating him.,0.0,content_diversity,Over ice cream Jake's friend happily reminisced about his win.,They got ice cream cake Jake's friend blew out the candles wishing that every birthday would be so perfect.,It was the perfect end to a lovely evening.,They created some good memories that day.,Over ice cream Jake's friend began to speculate as to whether he should bowl professionally.,4.000,0.624
test.sa-sb.sa::00765,Jervis wanted to get a dog. He went to a pound to find a puppy. Jervis picked out a small puppy. He brought the puppy home and gave him some water to drink.,0.0,content_diversity,The puppy adored Jervis quickly and couldn't wait to bark out his love.,The puppy couldn't find enough ways to shoe Jervis how crazy he was about him.,Jervis got up to walk away and the puppy barked to tell him to stay with him.,The puppy was so grateful to be out of the cage he didn't know how to act so he barked at Jervis.,Jervis and the puppy played for hours because they were nuts for each other.,3.071,0.728
test.sa-sb.sa::00767,Kate and her friends drove all the way to Las Vegas. But they didn't like their hotel. So they decided to look online. They sat in the car looking on their phones for a better deal.,1.0,content_diversity,Kate found a hotel for a lot cheaper.,They came across a hotel with more stars.,Kate's friend found a much better deal.,They finally saw one with much better reviews.,Kate found a website with better amenities.,3.333,0.527
test.sa-sb.sa::00768,"Abby was invited to a girl's trip to Seattle with her friends. Abby accepted the invitation, and were on their way to Seattle. After checking in the hotel, Abby fell straight asleep. When Abby awoke, her friends had returned from their night out.",1.0,content_diversity,abby joined them for dinner,abby missed the event,abby asked how their nights went,abby was upset her friends did not wake her up,abby was sad to be left out,3.778,0.478
test.sa-sb.sa::00776,Loren decided to wash the dishes for her roommates. She used a glass of water to soak the sponge in. After she washed everything she forgot to wash the glass. She left it next to the sink and a roommate tried to drink from it.,1.0,content_diversity,She grabbed it before her roommate could drink from it.,The roommate drank from it.,The roommate dropped the glass as they picked it up.,Her roommate decided to wash the glass instead.,Her roommate threw the glass at another one as they were fighting.,4.278,0.533
test.sa-sb.sa::00779,Charles wanted a raise. He was nervous about asking his boss. He finally built up enough courage to do it. His boss appreciated his initiative.,0.0,content_diversity,Charles was given a raise and a promotion.,Charles was now the new supervisor.,Charles moved up the ranks and now works more closely with his boss.,His boss nominated him for employee of the month.,Charles received compensation and moved up in the ranks.,3.000,0.745
test.sa-sb.sa-b::00240,There once was a person born without a brain. They tried and tried and tried to think. They read books and stared at screens until their eyes bled. Then one day they threw out all of their learning material.,0.0,content_diversity,they quit,they did not care,IT WAS TO HARD SO THEY WERE DONE,he gave up,he was done trying,1.889,0.567
test.sa-sb.sa-b::00242,Chloe is an actress who just turned 19. She is very interested in politics. She decided to use her platform to raise political awareness. She started to campaign for Hillary Clinton.,0.0,content_diversity,she got a lot of offers,she was happy,lots of work came in,everyone wanted to work with her,she was constantly sought after,3.333,0.707
test.sa-sb.sa-b::00247,"Brett was having some issues. He called his best friend Michael. They met at a coffee shop to talk. After a few hours, Brett felt like he knew what to do.",0.0,content_diversity,Michael professional made him an expert,Michael was afew years older and usually knew what to do,Michael has given Brett good advice in the past,Michael walks worked where brett did and knew how to advise him on work siutation,Michael was known for being a helpful friend,3.167,0.745
test.sa-sb.sa-b::00249,Steve and Josie are newlyweds. But Josie suspects that Steve is already cheating. She told her friends and they all agreed Steve was up to something. They all decided to follow him one day.,1.0,content_diversity,he was taking dance lesson,he was learning how to make flower bouquet,he was indeed cheating,he was dating her best friend,he was actually working extra,3.944,0.762
test.sa-sb.sa-b::00251,Don was out on a field. He saw a rabbit get close. Don decided to chase it. The rabbit ran away slowly.,0.0,content_diversity,he went shopping afterwards,went to the store later,he had to go gracery shopping,dan bought groceries,dan went to get food,1.667,0.408
test.sa-sb.sa-b::00256,Jane wanted to watch a big new action movie. She had been waiting a long time for it to come out. When tickets became available she was too busy. By the time she had a chance to buy some it was sold out.,1.0,content_diversity,Jane cried all the way home.,Jane found a ticket scalper to sell her tickets.,A friend of Jane's offered her one of her tickets.,Jane decided to go to another town to see it.,Jane decided to just wait and stream it at home when it becomes available.,4.111,0.567
test.sa-sb.sa-b::00262,It was a really hot day and Jamie wanted something sweet. Seeing a cute ice cream shop nearby she decided to go in. While waiting she noticed two children who looked very sad. She soon realized they had no money.,1.0,content_diversity,"Tough, thought Jamie and walked passed them holding his ice cream.",Jamie felt sorry for them so asked them what they wanted and got it for them.,Jamie told the shopkeepr to give them some free ice cream but he refused.,Jamie told the kids if they would wash his bike he would give them some money and they agreed.,Jamie gave them his ice cream to share and they were very grateful.,4.056,0.685
test.sa-sb.sa-b::00268,Karl woke up late for work one day. He didn't know why his alarm didn't go off. Later that day his alarm went off. Karl realized he put PM instead of AM>.,1.0,content_diversity,He missed a job interview,He was late for work and got fired,He missed a bus,He had to hurry up,He had to skip breakfast,3.611,0.774
test.sa-sb.sa-b::00272,Every month I start craving chocolate and salt. The cravings get so bad I can't resist them. I end up eating chips and candy bars. Eating those things makes my stomach start hurting.,0.0,content_diversity,"In the end I always throw up, it's awful.","I am always sick after, I hate it.","When I have finished eating I always throw up, it's horrible.","I always end up puking, it's awful.","After I have eaten I am always sick, it's awful.",1.611,0.515
test.sa-sb.sa-b::00274,Gwen's old couch was falling apart. She saved up money to get a new one. She looked for the best price around. Finally she found one she liked for the right price.,1.0,content_diversity,When it arrived it was perfect for her living room and she was very happy.,When she got it home she realised it didn't fit with the rest of the room and she would have to redecorate.,She ordered it and was told it would take three months to arrive and she was very disappointed.,She was even happier when the salesman said today was a special 25% off day.,Jane bought it and could not stop thinking about how great it was going to look on the way home.,4.556,0.550
test.sa-sb.sa-b::00276,Ron is having a cook out with the family. Ron is wearing his favorite shirt to impress everyone. While preparing his hot dog Ron spills some mustard on his shirt. Ron gets upset and rushes inside to clean his shirt.,1.0,content_diversity,His wife brings him a clean shirt and reassures him she can get the stain out.,Ron gives up on cleaning his shirt and throws it away.,"The neighbor, who overheard what happened, shows up to help Ron with her secret stain remover solution.",Ron throws away all the mustard bottles so it won't happen again.,Ron decides he is done for the day and goes to bed.,4.667,0.408
test.sa-sb.sa-b::00279,Harry and his basketball team was losing the game. The coach called for a timeout. Harry boosted morale by talking to his team. The team caught up and the game was tied.,0.0,content_diversity,He scored winner,Harry scored a winning point,Harry scored a point that won them a game,He scores final point,He scored last point,1.500,0.378
test.sa-sb.sa-b::00285,It was Isabella's first day at school. She thought she was going to like it. When the bus drove away she started crying. All she wanted was her mother.,0.0,content_diversity,The bus driver began a happy melody to improve the mood.,She laughed at the funny tune coming from the front of the bus.,The bus driver had a happy sing along of familiar tunes.,The bus driver chanted a fun chorus that chased the blues away.,The bus driver bebopped causing Isabella to joyfully play along.,1.833,0.577
test.sa-sb.sa-b::00294,Sean was on a diet. He lost a lot of pounds. Eventually his pants fit too big. Even his belt was hard to fit.,1.0,content_diversity,Sean had to go to the clothing store to buy new clothes for his new body.,His wife was proud of him for sticking to his diet and losing so many pounds.,Sean felt sad he couldn't wear his favorite pair of pants anymore.,He decided to donate his old clothes to charity.,He visited a tailor to adjust his pants to his current body.,4.389,0.458
test.sa-sb.sa-b::00295,It had been raining for two days straight. Kim's apartment basement became flooded. Her things in storage were destroyed. She didn't have any insurance.,0.0,content_diversity,Kim went to a store to buy items.,Kim looked online for a way to replace what she lost.,Kim went to a brick and mortar store to purchase things.,Kim went to a garage sale immediately.,Kim decided she would need up to date replacements so she left the house.,2.778,0.629
test.sa-sb.sa-b::00296,Mike wanted to get a new car. He saved up all of his money from work. It took him two summers to have enough money. Finally he was able to go buy a new car.,1.0,content_diversity,He decided to wait until next year so he could get a better car.,He decided he wanted to put his money in a savings account instead.,He decided to donate his money to a charity instead.,He bought a really decent four door car that was red.,He went and bought a gaming laptop instead.,4.444,0.497
test.sa-sb.sa-b::00299,Rita fell out of the tree. She broke her arm in two places. The doctor put her arm in a cast. It is purple and looks really neat.,0.0,content_diversity,Cast was pricey,Cast was costly,It was quite expensive,It costed a lot of money,It was pricey cast,1.722,0.583
test.sa-sb.sa-b::00301,"My neighbor Steve went food shopping. He buys his vegetables from a farm stand in Belmont, MA. Steve showed off some locally grown artichokes. Steve said this was unusual, as artichokes are hot weather veggies.",0.0,content_diversity,They were delicious,He said he enjoyed the taste,Artichokes were tasty,The flavour was extremely delicious,Everyone liked their flavour,2.111,0.393
test.sa-sb.sa-b::00302,"I am starting on my third marriage. I am very worried about how it will work out. Until now, I never felt love for the men I was married to. Now that I do love one, he is not very kind.",1.0,content_diversity,i stopped being nervous,it turned out great,i had a happy marriage,the wedding was great,i weighed the pros and cons,3.611,0.393
test.sa-sb.sa-b::00312,"Jack bought some ice cream from the store. When he arrived back at his apartment, there were kids outside. Jack decided that the kids deserved a treat. He got out cups and served them ice cream.",0.0,content_diversity,When he got back everyone was gone,"When he returned, none was there",When he got back all kids were gone,"When he came back, everyone disappeared",No one was there when he came back,1.562,0.390
test.sa-sb.sa-b::00325,The man lit the torch. He scorched the surface of the beef. He told his guests that it was a seared recipe. His guests were impressed by it's flavor.,0.0,content_diversity,the steak was so umami,the steak was decadent,it was so juicy,it was so succulent,it was very tasty,2.222,0.885
test.sa-sb.sa-b::00329,Ken loved going to church. He spent time with family. He got to learn valuable lessons. They even went to eat after.,0.0,content_diversity,it was delicious,the meal was tasty,the food was to his liking,he enjoyed his meal,he likes what they eat that day,2.000,0.471
test.sa-sb.sa-b::00330,Jake was never in his son's life. His son got the lead role in his Christmas play. Jake promised he would show up. On the day of the play Jake got drunk.,1.0,content_diversity,he showed up drunk,he was not able to come,he made it anyway,his son was still happy to see him,Jake missed the play,3.611,0.657
test.sa-sb.sa-b::00354,Kate slept on a couch in a suite in Las Vegas. There weren't enough beds for everyone. Kate was always stiff after a night of sleeping on a couch. However today she only had a slightly stiff neck.,1.0,content_diversity,Later in the day her neck started to feel worse again.,Kate put that down to the CBD oil she took before bed.,This couch was more comfortable than most.,Kate was grateful that her day in Vegas was not ruined by a stiff neck.,The next night Kate got a bed and a friend slept on the sofa.,4.556,0.369
test.sa-sb.sa-b::00357,Janice has a caffeine addiction but doesn't have a lot of money. She went to the store to see what she could get to satisfy her need. She ended up buying chocolate ice cream and soda to make a drink. After getting home she mixed the chocolate ice cream and soda.,0.0,content_diversity,Overall they liked it,She likes the drink,She thought the drink was pretty good,Overall the drink ended up being good,It turned out to be really good,2.222,0.533
test.sa-sb.sa-b::00365,Ken loved his favorite comedy. He excitedly showed it to his girlfriend. She watched it all the way through without laughing. Ken nervously asked if she liked it.,1.0,content_diversity,Kate said it was terrible.,"Kate said she thought it was great, she wasn't a LOL type of girl.",It was then he realised she was asleep and probably had been the whole movie.,Kate said she had seen it before but didn't like to say.,"Kate was dead, that was why she was so quiet.",4.583,0.449
test.sa-sb.sa-b::00366,Tucker is sitting home one night bored. He gets a text from his friend Sherry. She asks him to come out dancing with her. Tucker agrees and heads out to meet her.,0.0,content_diversity,The traffic is so bad that he doesn't make it to the club and ends up back at home.,He ends up returning home when he sees how much traffic there is.,The level of traffic is so high that he never gets to the club and turns back.,He turns back when he see how terrible the traffic is.,Traffic is awful on the roads so he decides to turn around and return to his house.,1.889,0.698
test.sa-sb.sa-b::00370,Jake was looking forward to a movie for months. He was excited by all the previews. He got early screening tickets. The movie was not what Jake expected at all.,0.0,content_diversity,Very disappointed in the movie Jake was...,Jake was very sad the movie did not live up to its billing,Jake felt cheated as the previews were the best bits of the film.,Jake was very let down.,Jake felt misled as the previews had looked so good.,2.833,0.667
test.sa-sb.sa-b::00376,"It was the day of Shannon's wedding. She was terrified, but excited. She waited in the dressing room until the wedding planner called her. She walked down the aisle with her father.",0.0,content_diversity,It couldn't get any better for her.,She still remembers it.,The whole thing was magical.,A moment to never be forgotten.,"Overtime, truly memorable for her.",2.444,0.497
test.sa-sb.sa-b::00378,Jane need to get something from the store. But she was late for an appointment. She grabbed her things quickly and headed to checkout. She thought it would be quick.,0.0,content_diversity,She didn't the cashier being held up was even a possibility.,She never thought the store being robbed was possible.,She was taken back by the men in masks demanding money.,"In shock, she complied with the requests of the thieves.",Being a witness to a robbery was not on her to do list that day.,2.389,0.698
test.sa-sb.sa-b::00387,Jane moved in and started working on an old house she bought. When thirsty she went to get a cup of water. But nothing came out of the faucet. She went to the basement to discover there were no pipes.,1.0,content_diversity,"She phoned the realtor who said she should have checked this when she viewed, Jane is furious.",Luckily Janes best friend is a plumber and she put it all right very quickly.,Jane had to go to the shop for bottled water and tried to figure out what to do.,Jane had forgotten about this so had to carry on and just be thirsty.,Jane phoned the police as she realised the copper pipes had been stolen.,4.667,0.527
test.sa-sb.sa-b::00388,Ken wanted to be a rapper. He practiced often. He tried to join a local rap battle. He froze and was embarrassed.,0.0,content_diversity,"After that day, ken never rapped again.",Ken never rapped again after what had happened to him.,Nobody ever heard ken rap again after that day.,Ken never rapped again after that incident.,"After that happened , Ken gave up wanting to be a rapper.",2.111,0.698
test.sa-sb.sa-b::00389,"Janice arrived on campus. She parked her car and started to walk towards the main hall. The double front doors were open when she was nearby. However, they started to close and smacked her in the face.",0.0,content_diversity,It stung for hours.,It made her eyes water.,The pain was intense.,She cried for a while.,She never felt such pain.,2.833,0.471
test.sa-sb.sa-b::00395,"Abby recently had a physical done by her doctor. During the visit Abby told her doctor she wanted to tone her body. Abby's doctor recommended that she do strength training exercises. After leaving the doctor, Abby researched strength training exercises.",0.0,content_diversity,Abby found that the exercises were simple.,She learned how easy it is to do these exercises.,The exercises ended up being easy.,Abby found that they are not at all challenging.,They were not particularly demanding at all.,2.111,0.657
test.sa-sb.sa-b::00406,Ken is a cook. While at work Ken begins cooking meals. While cooking a customer notices Ken spitting in their food. They complain to the manger.,0.0,content_diversity,Ken is sacked right away.,Ken is fired right at that moment.,Getting fired is the only thing that is going to happen to Ken.,The manger has no choice other than to let Ken go.,The manager fires Ken right away.,1.786,0.452
test.sa-sb.sa-b::00407,Glenn has been living a lie his whole life. Glenn was a gay teenager. Glenn knew he needed to tell his parents his true self. One evening while having dinner Glenn tells them he is gay.,1.0,content_diversity,His parents are not shocked as they knew already and Glenn is relieved.,Glenns dad kicks Glenn out the house and he has to stay at his friends.,Glenns mom hates the idea but his dad is cool and says he will talk mum round.,His mum and dad reply they are splitting up as they both realise they are gay too.,Glenns mum faints and his dad kills himself. Glenn doubts this was a good idea.,4.611,0.567
test.sa-sb.sa-b::00414,Jake was making a sandwich. He had all the ingredients ready. He put everything together. Right before taking a bit he noticed the moldy bread.,1.0,content_diversity,He ate the sandwich anyway.,He decided to give the sandwich to his dog instead.,He threw the sandwich in the trash.,"He went outside,found a homeless man and have him the sandwich.",He hurriedly put the sandwich down and went outside to vomit.,4.357,0.350
test.sa-sb.sa-b::00416,I forgot to turn my hit monitor on. I sat there for a long time wishing there was something to do. I finally realized I had forgotten. I turned it on quickly.,1.0,content_diversity,My day's already off to a great start!,I'll just count the time wasted as meditation break.,"A side glance at the clock made me even more anxious, five minutes already passed.",I couldn't wait to check for my acceptance email.,I wanted to do my daily social media stalking of my ex.,4.444,0.643
test.sa-sb.sa-b::00426,"I stole the assistant principal's walkie talkie. He looked for it for days. He knew someone took it, but didn't know who. He questioned a kid, and she told on me.",0.0,content_diversity,I can now no longer go back to that school ever again.,"They expelled me permanently, I cannot believe it.",I am now excluded for good.,I am now expelled forever.,They kicked me out of school for good.,1.833,0.408
test.sa-sb.sa-b::00433,Jane was walking home at night. She went by a dark alley. A stranger leaped out and grabbed her purse. Jane tried to fight back but couldn't.,1.0,content_diversity,Jane was killed by the stranger.,Jane lost her purse to the stranger as he fled.,Jane started screaming for help and the stranger ran.,Jane fell to the ground unconcious.,Jane let go of the purse and ran away.,4.250,0.692
