sample_id,context,label_value,label_name,resp_0,resp_1,resp_2,resp_3,resp_4,metric_abs_hds_mean,metric_abs_hds_std,metric_AveragedCosineSimilarity,metric_AveragedDistinctNgrams,metric_BertScore,metric_SD,metric_SD_norm,metric_SSD,metric_SSD_norm,metric_SentBert,metric_TSD,metric_TSD_norm
test.sa-sb.sa::00705,Jim has a very important math test next week. He is really worried about passing with a good grade. Jim decided to ask his teacher for ideas on great study tips. His teacher gave him some really great studying advice.,0.0,content_diversity,Confidence flowed through Jim as he realized he easily solved all the questions.,The teacher handed back Jim's test which got full marks.,Jim got a hundred on the test.,Jim ended up doing well and passing the math test.,He came home happy he passed the test.,2.667,0.577,-0.042,0.950,-0.374,2.768,0.554,4.878,0.976,-0.540,33.604,0.611
test.sa-sb.sa::00706,"My textbook went missing. I tried to look inside the laundry room. Dust was flying everywhere, especially on the desk. I managed to find the book inside a bin.",1.0,content_diversity,Someone had hidden it there after damaging it.,I was very happy to have my textbook and sat down to study.,I felt mystified as to why the book was in a bin but was relieved I had found it.,I opened the book and got down to catching up on my studies.,Later in the day my roommate admitted they had been tidying and put my book there.,3.857,0.693,-0.045,0.924,-0.282,2.652,0.530,4.976,0.995,-0.423,46.946,0.634
test.sa-sb.sa::00709,I put my dog in training school. He is learning a lot of new tricks. He can now sit and stand. They are very good teachers.,0.0,content_diversity,We joined together with our new friends to put together a dog trick stage show.,My pup has never been happier.,Now people gasp with delight when they see what my dog can do.,Our new friends agreed that these were the best dog trainers ever.,We all decided to stay in touch and do doggy play dates.,4.389,0.698,-0.015,0.965,-0.248,2.728,0.546,4.950,0.990,-0.520,36.577,0.581
test.sa-sb.sa::00714,Sam was at work. He had to lift a heavy box by himself. Sam pulled a muscle trying to do so. He had to get physical therapy to get better.,1.0,content_diversity,"After physical therapy, he was more fit than ever",Physical therapy was very expensive,"After the therapy, he promised he would be more careful lifting heavy objects",He decided to start going to the gym so he can avoid this kind of injuries,"After few months, he felt better that ever",3.944,0.497,-0.033,0.949,-0.221,2.498,0.500,4.992,0.998,-0.372,35.475,0.657
test.sa-sb.sa::00716,Sam went on a date. He was nervous and ate too much at dinner. After a short while he started feeling sick. Sam had to cut the date short and go home.,0.0,content_diversity,He had to call her and apologise,Next day he called her and explained what had happened,He asked his date for forgivness,He was so embarrassed while explaining the reason for leaving,Next day he grabbed a phone and called to say sorry,2.611,0.567,-0.041,0.924,-0.273,2.498,0.500,4.917,0.983,-0.361,33.064,0.751
test.sa-sb.sa::00718,John woke up on the beach not remembering who he was. John looked at his belongings. John found a car key. John used the car key to find out the car.,1.0,content_diversity,He tried it until he found the right car.,He went to the hospital to get himself checked out.,He went to the local police station to help with identification.,He drove to the local grocery store and went in.,He drove around aimlessly.,4.389,0.515,-0.084,0.877,-0.400,2.131,0.426,4.834,0.967,-0.180,31.999,0.653
test.sa-sb.sa::00721,Randy tells his kids if they massage him all night he will reward them. He tells them he will give them 100 dollars each for doing it. The kids massage their father all night. When the morning comes the kids are excited to be done.,0.0,content_diversity,Every kid bought 100 dollars worth of toys,All kids were happy with their money spent on toys,Each of them decided to buy toys,"With 100 dollars, all kids bought new toys",Receiving their reward made them happy because now they can buy toys,2.000,0.598,-0.043,0.942,-0.320,2.836,0.567,4.453,0.891,-0.613,26.715,0.581
test.sa-sb.sa::00726,Chris is a star runner. Chris has a big race this sunday. He invited all his friends and family to the race. While at the race Chris runs as hard as he can.,1.0,content_diversity,Chris really wanted to show off in front of everyone but he ended up falling down instead.,"Unfortunately, Chris got disqualified from another event after jumping the gun several times.",Chris ended up winning the race and dedicating his win to his mother.,Chris had his best race ever even breaking a state record.,Chris was nervous about his friends and family being there but persevered and won.,4.214,0.995,-0.033,0.953,-0.302,2.691,0.538,4.975,0.995,-0.389,46.711,0.631
test.sa-sb.sa::00731,I had my special cup on my desk. I accidentally bumped it. It fell and rolled over the edge. It hit the husky and bounced off.,0.0,content_diversity,Cup landed softly on the rug,"When cup bounced off, it landed on the carpet","Fortunately, the cup landed softly and didn't shatter",Cup fell on the carpet but nothing happened,Carpet was soft so when cup fell down it didn't shatter,2.222,0.749,-0.075,0.891,-0.319,2.919,0.584,4.990,0.998,-0.670,29.349,0.611
test.sa-sb.sa::00738,James wanted to go swimming. He made plans with friends. Unfortunately it started to rain. Most of his friends cancelled.,1.0,content_diversity,James didn't care about the rain and went swimming anyway.,James got mad at his friends for canceling and stayed home and played games.,James was really angry about the rain and told his friends he was mad at them too.,One of James' friends didn't cancel and they went swimming together.,James decided to go swimming anyway and found that the pool was closed.,3.722,0.671,-0.075,0.892,-0.364,2.492,0.498,4.738,0.948,-0.414,47.863,0.638
test.sa-sb.sa::00739,Sam went out drinking. He tried to drive home. He couldn't find his keys. He had to call a taxi.,1.0,content_diversity,Sam didn't care about being responsible but the bar did and took his keys.,Sam was furious that his keys were missing but went home anyway.,Sam couldn't find anyone to give him a ride so he had to call for a ride.,Sam's friends at the bar took his keys making Sam angry at everyone.,Sam was so drunk he shouldn't have been driving anyway.,3.611,0.657,-0.047,0.916,-0.274,2.326,0.465,4.910,0.982,-0.387,45.480,0.576
test.sa-sb.sa::00744,Tim always loved reading and writing. He decided to try and write a book. It took him a long time. Not many people read it.,0.0,content_diversity,It was a cult classic,The few you read it were big fans,Tim develop a small loyal fan base,The book was considered an acquired taste but some liked it,"It had a polarizing reaction, people either loved or hated it",3.500,0.527,-0.022,0.967,-0.220,2.563,0.513,4.996,0.999,-0.502,30.083,0.700
test.sa-sb.sa::00745,Brett got new shoes today. His old ones had a hole in them. He really does not like his new shoes. Brett wanted his old shoes back.,1.0,content_diversity,he got his old shoes back,he exchange the new pair for a new pair of his old shoes,he threw the new shoes away,he decided to try the new shoe anyway,he keeps the new shoes,3.222,0.629,-0.122,0.854,-0.432,1.582,0.316,4.986,0.997,-0.610,23.399,0.616
test.sa-sb.sa::00751,Tom was invited to a party. He wasn't much of a beer drinker. He got whatever he saw on sale. Everyone at the party was a bit disappointed.,1.0,content_diversity,it was not his fault though,they wanted better booze,they thought he was not being selective,they wanted him to put in more thoughts,"they were disappointed because the music was bad, not because of tom",3.333,0.745,-0.043,0.939,-0.212,2.008,0.402,4.969,0.994,-0.243,21.814,0.574
test.sa-sb.sa::00760,Karl was getting ready for work. He didn't have enough time to make breakfast. Karl decided to just eat some cereal. He poured out the cereal before checking the milk.,1.0,content_diversity,Turns out that the milk was sour and he ruined a good bowl of cereal.,Karl looked into the fridge and realized he didn't have any milk.,Karl put the cereal back into the box because he was out of milk.,Karl remember he didn't have any milk so put the cereal back.,Karl put the cereal in a sandwich bag and just ate it like granola because he had no milk.,3.722,0.629,-0.131,0.832,-0.404,2.338,0.468,4.794,0.959,-0.670,51.638,0.637
test.sa-sb.sa::00762,"In college, I heard my first opera. It was called Marriage of Figaro. The singers sang in English so we could understand the words. It was a very funny story.",1.0,content_diversity,I love this opera,I like opera ever since,I did not like other opera though,I enjoy telling other people about this story,I decide to buy the book on this opera,4.111,0.698,-0.072,0.926,-0.222,2.242,0.448,4.875,0.975,-0.325,17.491,0.530
test.sa-sb.sa::00764,Jake went bowling one day. It was his friend's birthday. Jake decided to be nice and let his friend win. The friend was excited over beating him.,0.0,content_diversity,Over ice cream Jake's friend happily reminisced about his win.,They got ice cream cake Jake's friend blew out the candles wishing that every birthday would be so perfect.,It was the perfect end to a lovely evening.,They created some good memories that day.,Over ice cream Jake's friend began to speculate as to whether he should bowl professionally.,4.000,0.624,-0.053,0.902,-0.301,2.380,0.476,4.941,0.988,-0.264,43.568,0.614
test.sa-sb.sa::00765,Jervis wanted to get a dog. He went to a pound to find a puppy. Jervis picked out a small puppy. He brought the puppy home and gave him some water to drink.,0.0,content_diversity,The puppy adored Jervis quickly and couldn't wait to bark out his love.,The puppy couldn't find enough ways to shoe Jervis how crazy he was about him.,Jervis got up to walk away and the puppy barked to tell him to stay with him.,The puppy was so grateful to be out of the cage he didn't know how to act so he barked at Jervis.,Jervis and the puppy played for hours because they were nuts for each other.,3.071,0.728,-0.065,0.910,-0.251,2.427,0.485,4.994,0.999,-0.635,54.095,0.588
test.sa-sb.sa::00767,Kate and her friends drove all the way to Las Vegas. But they didn't like their hotel. So they decided to look online. They sat in the car looking on their phones for a better deal.,1.0,content_diversity,Kate found a hotel for a lot cheaper.,They came across a hotel with more stars.,Kate's friend found a much better deal.,They finally saw one with much better reviews.,Kate found a website with better amenities.,3.333,0.527,-0.078,0.889,-0.462,2.323,0.465,4.644,0.929,-0.425,25.046,0.557
test.sa-sb.sa::00768,"Abby was invited to a girl's trip to Seattle with her friends. Abby accepted the invitation, and were on their way to Seattle. After checking in the hotel, Abby fell straight asleep. When Abby awoke, her friends had returned from their night out.",1.0,content_diversity,abby joined them for dinner,abby missed the event,abby asked how their nights went,abby was upset her friends did not wake her up,abby was sad to be left out,3.778,0.478,-0.037,0.955,-0.457,1.893,0.379,4.964,0.993,-0.393,21.065,0.658
test.sa-sb.sa::00776,Loren decided to wash the dishes for her roommates. She used a glass of water to soak the sponge in. After she washed everything she forgot to wash the glass. She left it next to the sink and a roommate tried to drink from it.,1.0,content_diversity,She grabbed it before her roommate could drink from it.,The roommate drank from it.,The roommate dropped the glass as they picked it up.,Her roommate decided to wash the glass instead.,Her roommate threw the glass at another one as they were fighting.,4.278,0.533,-0.076,0.899,-0.468,2.278,0.456,4.965,0.993,-0.455,31.584,0.631
test.sa-sb.sa::00779,Charles wanted a raise. He was nervous about asking his boss. He finally built up enough courage to do it. His boss appreciated his initiative.,0.0,content_diversity,Charles was given a raise and a promotion.,Charles was now the new supervisor.,Charles moved up the ranks and now works more closely with his boss.,His boss nominated him for employee of the month.,Charles received compensation and moved up in the ranks.,3.000,0.745,-0.052,0.918,-0.440,2.248,0.450,4.923,0.985,-0.582,31.398,0.628
test.sa-sb.sa-b::00240,There once was a person born without a brain. They tried and tried and tried to think. They read books and stared at screens until their eyes bled. Then one day they threw out all of their learning material.,0.0,content_diversity,they quit,they did not care,IT WAS TO HARD SO THEY WERE DONE,he gave up,he was done trying,1.889,0.567,-0.013,0.981,-0.194,1.715,0.343,4.513,0.903,-0.549,15.146,0.721
test.sa-sb.sa-b::00242,Chloe is an actress who just turned 19. She is very interested in politics. She decided to use her platform to raise political awareness. She started to campaign for Hillary Clinton.,0.0,content_diversity,she got a lot of offers,she was happy,lots of work came in,everyone wanted to work with her,she was constantly sought after,3.333,0.707,-0.033,0.950,-0.288,2.374,0.475,4.940,0.988,-0.458,14.582,0.583
test.sa-sb.sa-b::00247,"Brett was having some issues. He called his best friend Michael. They met at a coffee shop to talk. After a few hours, Brett felt like he knew what to do.",0.0,content_diversity,Michael professional made him an expert,Michael was afew years older and usually knew what to do,Michael has given Brett good advice in the past,Michael walks worked where brett did and knew how to advise him on work siutation,Michael was known for being a helpful friend,3.167,0.745,-0.033,0.959,-0.166,2.062,0.412,4.970,0.994,-0.572,32.807,0.670
test.sa-sb.sa-b::00249,Steve and Josie are newlyweds. But Josie suspects that Steve is already cheating. She told her friends and they all agreed Steve was up to something. They all decided to follow him one day.,1.0,content_diversity,he was taking dance lesson,he was learning how to make flower bouquet,he was indeed cheating,he was dating her best friend,he was actually working extra,3.944,0.762,-0.120,0.908,-0.277,1.683,0.337,4.954,0.991,-0.140,17.351,0.620
test.sa-sb.sa-b::00251,Don was out on a field. He saw a rabbit get close. Don decided to chase it. The rabbit ran away slowly.,0.0,content_diversity,he went shopping afterwards,went to the store later,he had to go gracery shopping,dan bought groceries,dan went to get food,1.667,0.408,-0.043,0.928,-0.375,2.381,0.476,4.702,0.940,-0.458,13.974,0.608
test.sa-sb.sa-b::00256,Jane wanted to watch a big new action movie. She had been waiting a long time for it to come out. When tickets became available she was too busy. By the time she had a chance to buy some it was sold out.,1.0,content_diversity,Jane cried all the way home.,Jane found a ticket scalper to sell her tickets.,A friend of Jane's offered her one of her tickets.,Jane decided to go to another town to see it.,Jane decided to just wait and stream it at home when it becomes available.,4.111,0.567,-0.041,0.920,-0.250,2.420,0.484,4.770,0.954,-0.333,31.267,0.558
test.sa-sb.sa-b::00262,It was a really hot day and Jamie wanted something sweet. Seeing a cute ice cream shop nearby she decided to go in. While waiting she noticed two children who looked very sad. She soon realized they had no money.,1.0,content_diversity,"Tough, thought Jamie and walked passed them holding his ice cream.",Jamie felt sorry for them so asked them what they wanted and got it for them.,Jamie told the shopkeepr to give them some free ice cream but he refused.,Jamie told the kids if they would wash his bike he would give them some money and they agreed.,Jamie gave them his ice cream to share and they were very grateful.,4.056,0.685,-0.085,0.882,-0.276,2.466,0.493,4.987,0.997,-0.472,49.223,0.623
test.sa-sb.sa-b::00268,Karl woke up late for work one day. He didn't know why his alarm didn't go off. Later that day his alarm went off. Karl realized he put PM instead of AM>.,1.0,content_diversity,He missed a job interview,He was late for work and got fired,He missed a bus,He had to hurry up,He had to skip breakfast,3.611,0.774,-0.092,0.881,-0.308,1.690,0.338,4.986,0.997,-0.343,13.987,0.518
test.sa-sb.sa-b::00272,Every month I start craving chocolate and salt. The cravings get so bad I can't resist them. I end up eating chips and candy bars. Eating those things makes my stomach start hurting.,0.0,content_diversity,"In the end I always throw up, it's awful.","I am always sick after, I hate it.","When I have finished eating I always throw up, it's horrible.","I always end up puking, it's awful.","After I have eaten I am always sick, it's awful.",1.611,0.515,-0.146,0.812,-0.625,2.890,0.578,4.719,0.944,-0.805,32.205,0.511
test.sa-sb.sa-b::00274,Gwen's old couch was falling apart. She saved up money to get a new one. She looked for the best price around. Finally she found one she liked for the right price.,1.0,content_diversity,When it arrived it was perfect for her living room and she was very happy.,When she got it home she realised it didn't fit with the rest of the room and she would have to redecorate.,She ordered it and was told it would take three months to arrive and she was very disappointed.,She was even happier when the salesman said today was a special 25% off day.,Jane bought it and could not stop thinking about how great it was going to look on the way home.,4.556,0.550,-0.078,0.902,-0.284,2.834,0.567,4.989,0.998,-0.298,64.651,0.660
test.sa-sb.sa-b::00276,Ron is having a cook out with the family. Ron is wearing his favorite shirt to impress everyone. While preparing his hot dog Ron spills some mustard on his shirt. Ron gets upset and rushes inside to clean his shirt.,1.0,content_diversity,His wife brings him a clean shirt and reassures him she can get the stain out.,Ron gives up on cleaning his shirt and throws it away.,"The neighbor, who overheard what happened, shows up to help Ron with her secret stain remover solution.",Ron throws away all the mustard bottles so it won't happen again.,Ron decides he is done for the day and goes to bed.,4.667,0.408,-0.031,0.953,-0.302,2.513,0.503,4.984,0.997,-0.301,51.463,0.668
test.sa-sb.sa-b::00279,Harry and his basketball team was losing the game. The coach called for a timeout. Harry boosted morale by talking to his team. The team caught up and the game was tied.,0.0,content_diversity,He scored winner,Harry scored a winning point,Harry scored a point that won them a game,He scores final point,He scored last point,1.500,0.378,-0.092,0.869,-0.488,1.684,0.337,4.107,0.821,-0.621,12.743,0.510
test.sa-sb.sa-b::00285,It was Isabella's first day at school. She thought she was going to like it. When the bus drove away she started crying. All she wanted was her mother.,0.0,content_diversity,The bus driver began a happy melody to improve the mood.,She laughed at the funny tune coming from the front of the bus.,The bus driver had a happy sing along of familiar tunes.,The bus driver chanted a fun chorus that chased the blues away.,The bus driver bebopped causing Isabella to joyfully play along.,1.833,0.577,-0.100,0.890,-0.463,2.170,0.434,4.892,0.978,-0.594,34.872,0.562
test.sa-sb.sa-b::00294,Sean was on a diet. He lost a lot of pounds. Eventually his pants fit too big. Even his belt was hard to fit.,1.0,content_diversity,Sean had to go to the clothing store to buy new clothes for his new body.,His wife was proud of him for sticking to his diet and losing so many pounds.,Sean felt sad he couldn't wear his favorite pair of pants anymore.,He decided to donate his old clothes to charity.,He visited a tailor to adjust his pants to his current body.,4.389,0.458,-0.057,0.935,-0.354,2.796,0.559,4.934,0.987,-0.331,45.991,0.639
test.sa-sb.sa-b::00295,It had been raining for two days straight. Kim's apartment basement became flooded. Her things in storage were destroyed. She didn't have any insurance.,0.0,content_diversity,Kim went to a store to buy items.,Kim looked online for a way to replace what she lost.,Kim went to a brick and mortar store to purchase things.,Kim went to a garage sale immediately.,Kim decided she would need up to date replacements so she left the house.,2.778,0.629,-0.133,0.868,-0.363,2.067,0.413,4.124,0.825,-0.465,30.217,0.540
test.sa-sb.sa-b::00296,Mike wanted to get a new car. He saved up all of his money from work. It took him two summers to have enough money. Finally he was able to go buy a new car.,1.0,content_diversity,He decided to wait until next year so he could get a better car.,He decided he wanted to put his money in a savings account instead.,He decided to donate his money to a charity instead.,He bought a really decent four door car that was red.,He went and bought a gaming laptop instead.,4.444,0.497,-0.075,0.905,-0.403,2.283,0.457,4.989,0.998,-0.261,36.546,0.599
test.sa-sb.sa-b::00299,Rita fell out of the tree. She broke her arm in two places. The doctor put her arm in a cast. It is purple and looks really neat.,0.0,content_diversity,Cast was pricey,Cast was costly,It was quite expensive,It costed a lot of money,It was pricey cast,1.722,0.583,-0.085,0.890,-0.557,1.856,0.371,4.259,0.852,-0.804,14.931,0.747
test.sa-sb.sa-b::00301,"My neighbor Steve went food shopping. He buys his vegetables from a farm stand in Belmont, MA. Steve showed off some locally grown artichokes. Steve said this was unusual, as artichokes are hot weather veggies.",0.0,content_diversity,They were delicious,He said he enjoyed the taste,Artichokes were tasty,The flavour was extremely delicious,Everyone liked their flavour,2.111,0.393,-0.016,0.971,-0.279,2.404,0.481,4.898,0.980,-0.660,12.136,0.578
test.sa-sb.sa-b::00302,"I am starting on my third marriage. I am very worried about how it will work out. Until now, I never felt love for the men I was married to. Now that I do love one, he is not very kind.",1.0,content_diversity,i stopped being nervous,it turned out great,i had a happy marriage,the wedding was great,i weighed the pros and cons,3.611,0.393,-0.021,0.965,-0.292,1.774,0.355,4.310,0.862,-0.374,14.037,0.610
test.sa-sb.sa-b::00312,"Jack bought some ice cream from the store. When he arrived back at his apartment, there were kids outside. Jack decided that the kids deserved a treat. He got out cups and served them ice cream.",0.0,content_diversity,When he got back everyone was gone,"When he returned, none was there",When he got back all kids were gone,"When he came back, everyone disappeared",No one was there when he came back,1.562,0.390,-0.123,0.836,-0.588,2.044,0.409,4.285,0.857,-0.764,20.493,0.554
test.sa-sb.sa-b::00325,The man lit the torch. He scorched the surface of the beef. He told his guests that it was a seared recipe. His guests were impressed by it's flavor.,0.0,content_diversity,the steak was so umami,the steak was decadent,it was so juicy,it was so succulent,it was very tasty,2.222,0.885,-0.154,0.793,-0.476,1.778,0.356,4.426,0.885,-0.538,13.329,0.635
test.sa-sb.sa-b::00329,Ken loved going to church. He spent time with family. He got to learn valuable lessons. They even went to eat after.,0.0,content_diversity,it was delicious,the meal was tasty,the food was to his liking,he enjoyed his meal,he likes what they eat that day,2.000,0.471,-0.032,0.950,-0.354,2.372,0.474,4.677,0.935,-0.805,13.079,0.545
test.sa-sb.sa-b::00330,Jake was never in his son's life. His son got the lead role in his Christmas play. Jake promised he would show up. On the day of the play Jake got drunk.,1.0,content_diversity,he showed up drunk,he was not able to come,he made it anyway,his son was still happy to see him,Jake missed the play,3.611,0.657,-0.019,0.969,-0.297,2.103,0.421,4.159,0.832,-0.136,16.711,0.643
