sample_id,context,label_value,label_name,resp_0,resp_1,resp_2,resp_3,resp_4,metric_AveragedCosineSimilarity,metric_AveragedDistinctNgrams,metric_BertScore,metric_SD,metric_SD_norm,metric_SSD,metric_SSD_norm,metric_SentBert,metric_TSD,metric_TSD_norm
test.enc.prompt.txt::01299,"Oh, yes. It",0.0,content_diversity,hard to stay friends with you,is hard to be your friend,is really hard to be a friend of yours,is impossible to be your friend,is kinda hard to be your pal,-0.200,0.775,-0.544,2.093,0.419,4.514,0.903,-0.796,19.774,0.582
test.enc.prompt.txt::01301,How old are,1.0,content_diversity,these puppies,your parents,these dirty socks,"people in japan, on average",these tomatoes,-0.026,0.971,-0.270,1.953,0.391,5.000,1.000,-0.087,12.108,0.807
test.enc.prompt.txt::01302,He seems to,1.0,content_diversity,be sicker than we originally thought.,really like his date.,like driving trucks.,want a dog for his next pet.,hate his job.,-0.020,0.974,-0.302,2.559,0.512,4.996,0.999,-0.079,15.778,0.563
test.enc.prompt.txt::01303,...and his church,1.0,content_diversity,fought the shooter off quickly,defied the orders on social distancing,became a cult group,snubbed a family that wanted to join,isn't really spiritual it's more a social gathering place,-0.016,0.974,-0.095,2.005,0.401,4.558,0.912,-0.225,23.629,0.676
test.enc.prompt.txt::01303,...and his church,0.0,content_diversity,congregation got together regardless of the rules,refused to comply with the governor's orders,had a large meeting in spite of the virus situation,angrily said they will stay open no matter what,infected a large amount of people due to their actions,-0.026,0.957,-0.227,2.945,0.589,4.991,0.998,-0.194,28.054,0.623
test.enc.prompt.txt::01305,Unless we get,1.0,content_diversity,"our revenge, I give up","his notes, it is not possible","the files, we can't succeed","the weather forecast, we can't be sure","our hands on drugs, we can't be profitable",-0.045,0.922,-0.267,2.182,0.436,4.994,0.999,-0.276,24.110,0.574
test.enc.prompt.txt::01306,"So...you...survived the blast,",1.0,content_diversity,are you ok after that?,that is insane,how does that happen?,wow how did you do that,that is impressive,-0.056,0.930,-0.200,2.954,0.591,4.941,0.988,-0.385,16.604,0.722
test.enc.prompt.txt::01309,"Hi, honey! Feeling",1.0,content_diversity,frisky?,hungry?,like going out?,happy today?,like doing the taxes today?,-0.011,0.967,-0.391,2.110,0.422,4.925,0.985,-0.239,8.898,0.523
test.enc.prompt.txt::01309,"Hi, honey! Feeling",0.0,content_diversity,like going to do something?,like going on a date?,like getting out and having fun?,letting me take you out?,stepping out with me?,-0.024,0.958,-0.262,2.349,0.470,4.976,0.995,-0.390,17.868,0.596
test.enc.prompt.txt::01310,We have to,1.0,content_diversity,think logically,go soon,believe in each other,be more clear next time,call again,0.000,1.000,-0.137,1.531,0.306,4.963,0.993,-0.278,12.612,0.841
test.enc.prompt.txt::01311,Get the presents,1.0,content_diversity,for our family,and pack them,"into car, we'll deliver them",for my orphans,and put them on the table,-0.025,0.960,-0.194,2.261,0.452,4.973,0.995,-0.227,14.423,0.627
test.enc.prompt.txt::01311,Get the presents,0.0,content_diversity,for our relatives,for the kids,for my parents,for my grandparents,our siblings,-0.065,0.506,-0.521,1.841,0.368,4.803,0.961,-0.426,7.633,0.545
test.enc.prompt.txt::01312,"Yes, yes it",0.0,content_diversity,will be sure to put your mind to the test.,is the determining factor of whether you go to the next grade or not!,is an important achievement to accomplish.,is up to you what you do with the knowledge you have acquired.,but I have faith you will perform wonderfully.,-0.042,0.937,-0.190,2.614,0.523,4.996,0.999,-0.354,37.901,0.677
test.enc.prompt.txt::01313,We stay down,1.0,content_diversity,"we stay alive, it's as simple as that.",south for the first week the north the second.,"at the lakeside, we've been here about a fortnight.","town in the swankiest hotel there is, we deserve it!","where the pollution is the thinnest, its healthier that way,",-0.032,0.961,0.002,3.010,0.602,4.997,0.999,-0.140,39.806,0.675
test.enc.prompt.txt::01313,We stay down,0.0,content_diversity,"south for a while then head north,",south first and the north.,south for a while then go north.,south for 7 days and then north for another 7.,south to begin with then move north.,-0.124,0.819,-0.384,1.917,0.383,4.111,0.822,-0.730,27.882,0.680
test.enc.prompt.txt::01315,How long will,0.0,content_diversity,spending time at your mothers be,the doctor appointment last,we spend at the funeral home visitation,you stay over at her house,she sit on my couch today,-0.013,0.979,-0.159,2.157,0.431,4.838,0.968,-0.297,15.723,0.542
test.enc.prompt.txt::01316,What are you,1.0,content_diversity,thinking about,doing tonight,gonna do about this,having for dinner tonight,calling this now,-0.020,0.760,-0.097,2.265,0.453,4.989,0.998,-0.312,10.750,0.717
test.enc.prompt.txt::01318,"Stop it, you",0.0,content_diversity,sorry this is off limits,you cant come into here,"you cant go in, sorry",sorry you are not allowed,you cannot come in,-0.051,0.931,-0.339,1.855,0.371,4.940,0.988,-0.690,16.120,0.645
test.enc.prompt.txt::01320,It means that,1.0,content_diversity,we get to go today,we should rethink everything,you should be more careful,try again,go home,-0.015,0.967,-0.168,2.590,0.518,4.984,0.997,-0.224,14.123,0.785
test.enc.prompt.txt::01320,It means that,0.0,content_diversity,try harder,make an effirt again,be gentle and try another time,try to do it again,maybe have another go again,-0.032,0.955,-0.253,2.618,0.524,4.975,0.995,-0.573,13.573,0.617
test.enc.prompt.txt::01322,Are you kidding?!,1.0,content_diversity,I can't believe it!,I had no idea.,She said what?,I have to see it!,What?!,-0.018,0.965,-0.132,2.359,0.393,4.958,0.992,-0.413,16.717,0.669
test.enc.prompt.txt::01322,Are you kidding?!,0.0,content_diversity,Show me!,Let me see!,Let's have a look.,I want to see it.,I must see this.,-0.009,0.978,-0.299,2.474,0.495,4.938,0.988,-0.673,13.527,0.541
test.enc.prompt.txt::01323,Go to the,1.0,content_diversity,mall and get me some clothes,store and buy me cigarettes,frank's house,gas station and pick me up,post office and get the package for me,-0.045,0.939,-0.171,2.290,0.458,4.647,0.929,-0.238,16.047,0.553
test.enc.prompt.txt::01324,Or pee in,1.0,content_diversity,the glass,the field,the sea,a restaurant toilet,"there, behind that bush",-0.030,0.769,-0.065,1.757,0.351,4.950,0.990,-0.156,11.437,0.817
test.enc.prompt.txt::01326,And if we,0.0,content_diversity,Take a different route we can save time.,want to save time we can go by the river.,need to get there on time we can take the river route.,"go by the river we will get there faster,",take the river road we will save time.,-0.145,0.804,-0.505,1.926,0.385,4.927,0.985,-0.648,34.079,0.655
test.enc.prompt.txt::01327,Millions upon millions,1.0,content_diversity,of dollars constantly wasted,and its mine,of money,is great,would be cool,-0.007,0.786,-0.222,2.540,0.508,4.508,0.902,-0.318,11.020,0.787
test.enc.prompt.txt::01328,I'm going to,1.0,content_diversity,make you a dinner,"the bar, don't wait for me",take the trash out,learn how to play a guitar,make a plan,-0.024,0.965,-0.084,2.324,0.465,4.922,0.984,-0.100,18.419,0.708
test.enc.prompt.txt::01329,I don't want,1.0,content_diversity,to go home yet,cry right now,more food,to move,to go to sleep,-0.038,0.727,-0.129,2.417,0.483,4.992,0.998,-0.151,9.883,0.659
test.enc.prompt.txt::01329,I don't want,0.0,content_diversity,i need food now,"more please, i am hungry",we need food for everyone,this is not enough food,not sure if the food will be enough,-0.044,0.939,-0.215,2.657,0.531,4.815,0.963,-0.607,18.411,0.658
test.enc.prompt.txt::01331,"To your health,",0.0,content_diversity,you should avoid junk food,you need to avoid burgers,you shouldn't be eating fast food,don't eat junk food,you better avoid processed food,-0.070,0.918,-0.569,1.850,0.370,4.890,0.978,-0.754,14.656,0.505
test.enc.prompt.txt::01332,"Frank, I have",1.0,content_diversity,a question for you,been waiting for you 30 minutes,something to tell you,a juicy gossip to tell you,a practice today so I can't go with you,-0.082,0.902,-0.121,2.149,0.430,4.996,0.999,-0.198,18.976,0.612
test.enc.prompt.txt::01333,Detective Williams here.,0.0,content_diversity,Can I help you?,Are you in need of help?,What can I do for you?,I am available to help.,Do you need some help?,-0.032,0.946,-0.387,2.708,0.542,4.372,0.874,-0.645,19.323,0.623
test.enc.prompt.txt::01334,Why do you,1.0,content_diversity,think its ok,not know the time,keep calling me,continue to yell,speak like that,0.000,0.800,-0.129,2.132,0.426,4.779,0.956,-0.271,12.205,0.763
test.enc.prompt.txt::01335,And that man,0.0,content_diversity,isn't reliable,", we can't trust him",we can't rely on him,isn't honest,can never be trusted,-0.027,0.940,-0.353,2.607,0.521,4.430,0.886,-0.609,13.652,0.525
test.enc.prompt.txt::01336,"Well now Jeffrey,",0.0,content_diversity,no more complaining,just stop,can you stop doing that,no complaing anymore,i dont want to hear complaints,-0.013,0.979,-0.158,2.343,0.469,4.732,0.946,-0.565,13.497,0.710
test.enc.prompt.txt::01337,Yes it's me!!!,1.0,content_diversity,i am here,who did it,i am the 1,hello everyone,hi there,-0.020,0.749,-0.283,2.288,0.458,4.791,0.958,-0.437,12.067,0.862
test.enc.prompt.txt::01339,"Oh God, that",1.0,content_diversity,explains it.,can't be true.,looks like a dead body.,looks like purse I lost.,looks like the guy who robbed me.,-0.035,0.940,-0.334,2.250,0.450,4.835,0.967,-0.184,11.453,0.395
test.enc.prompt.txt::00350,"Yeah, I study",0.0,content_diversity,to get an A,To have the highest score possible,to get good grades,for my exams,for better grade in my exam,-0.026,0.954,-0.287,2.491,0.498,4.995,0.999,-0.412,14.043,0.611
test.enc.prompt.txt::00351,Pop it open.,1.0,content_diversity,my friend,or else,if you think you can,like a champagne bottle on new year's eve,in order to complete your task,0.000,0.991,-0.062,2.500,0.500,4.917,0.983,-0.153,17.047,0.682
test.enc.prompt.txt::00351,Pop it open.,0.0,content_diversity,buddy,my dude,bucko,pal,my amigo,-0.010,0.371,-0.288,2.565,0.513,4.888,0.978,-0.325,6.582,0.940
test.enc.prompt.txt::00352,"Mr. President, it's",1.0,content_diversity,raining outside,time to go,not within your jurisdiction,the President of France,wife on the phone,-0.005,0.788,-0.144,3.635,0.727,4.995,0.999,-0.109,12.950,0.762
test.enc.prompt.txt::00352,"Mr. President, it's",0.0,content_diversity,the First Lady calling you,your spouse waiting on the phone,Mrs. President waiting to speak with you,the mother of your children wanting to talk to you,a phone call from your significant other,-0.035,0.943,-0.304,2.364,0.473,4.992,0.998,-0.383,22.619,0.628
test.enc.prompt.txt::00353,Who's flying the,1.0,content_diversity,airplane so low to the ground?,drone and making so much noise at 5:00 AM on a Sunday?,kite close to that tree.  They are going to get tangled in the branches?,hot air ballon that almost landed in my strawberry field?,helicopter that is going to take us to the Grand Canyon?,-0.034,0.950,-0.120,2.951,0.492,4.992,0.998,-0.168,39.773,0.652
test.enc.prompt.txt::00354,"Uh, we got",1.0,content_diversity,a ticket from that cop that pulled us over.,suspended from school for our senior day prank.,two tickets for the Superbowl so only we can go.,arrested for drinking in public in San Antonio last weekend.,in trouble for getting bad grades and now we are both grounded.,-0.019,0.967,-0.189,2.760,0.552,4.998,1.000,-0.209,34.634,0.641
test.enc.prompt.txt::00355,It was a,1.0,content_diversity,Cold and frosty morning,a starry night,a great tragedy,a huge achievement for the team,start which lead into something good,-0.016,0.982,-0.099,2.472,0.494,4.950,0.990,-0.242,13.391,0.609
test.enc.prompt.txt::00355,It was a,0.0,content_diversity,Sad moment,Upsetting and tiresome time,loss to the entire community,a huge blow to the team,catastrophe on which they had never seen before,-0.012,0.974,-0.046,2.551,0.510,4.981,0.996,-0.474,13.409,0.536
test.enc.prompt.txt::00356,General Greely says,1.0,content_diversity,go West!,get in line,don’t quit!,Be a good soldier,Don’t be a hero,-0.005,0.787,-0.185,2.469,0.494,4.932,0.986,-0.167,15.540,0.740
test.enc.prompt.txt::00356,General Greely says,0.0,content_diversity,Salute me!,Pivot left!,Go to Grub Hall,Jump in the trenches,Hoorah soldier!,0.000,0.800,-0.052,2.522,0.504,4.719,0.944,-0.306,11.679,0.687
test.enc.prompt.txt::00357,The Chief Justice?,0.0,content_diversity,loves cold cuts on his lunch hour.,"tried smoked turkey one week, but didn't much care for it.","sometimes adds a slice of raw onion, much to the dismay of the court after reconvening for the afternoon.",has a very high cholesterol percentage.,should try salads for a change.,-0.013,0.967,-0.188,2.122,0.424,4.996,0.999,-0.153,40.708,0.702
test.enc.prompt.txt::00358,The rest of,0.0,content_diversity,the day was eneventful.,the day following the meeting was dull.,the workday was pretty boring.,the day was fairly uneventful.,the day after the meeting was pretty dull.,-0.170,0.810,-0.602,1.789,0.358,4.167,0.833,-0.525,20.631,0.607
test.enc.prompt.txt::00359,How many others,1.0,content_diversity,Are here?,will cut me off?,arrived early?,enjoy shrimp and chips?,really love raising cats?,0.000,0.800,-0.293,2.663,0.533,4.950,0.990,-0.103,12.514,0.596
test.enc.prompt.txt::00359,How many others,0.0,content_diversity,are vegan?,love to eat steak?,will order shrimp on the menu?,got shrimp on Valentines Day?,ate out on their birthday?,-0.019,0.961,-0.306,2.927,0.585,4.971,0.994,-0.215,14.625,0.542
